,system_id,system_name,date_stamp,energy_prod(KWh),energy_life(MWh),C02 (Kg),KWp,performance,lat,lon,date_installed
0,9386741,Yerambooee Community Centre  ,2018-08-01,51.5,,47.41,18.2,2.8,-37.8587717,144.7100923,2017-07-27
0,1888434222,Iramoo Community Centre ,2018-08-01,97.7,,89.84,35.2,2.8,-37.8983257,144.6227181,2017-10-27
0,9387235,Wayaperri House ,2018-08-01,56.5,,51.96,17.9,3.2,-37.9056075,144.6681183,2017-07-27
0,1351555221,Jamieson Way Community Centre ,2018-08-02,144.4,,132.83,34.3,4.2,-37.8956317,144.7443843,2017-07-27
0,9386988,Saltwater Reserve - Soccer,2018-08-02,65.0,,59.81,16.0,4.1,-37.907358,144.7558417,2017-09-18
0,546277845,Saltwater Reserve - Tennis,2018-08-02,0.0,,0.0,7.2,0.0,-37.907933,144.7509503,2017-07-27
0,1351535955,Featherbrook Community Centre,2018-08-02,151.0,,138.96,55.1,2.7,-37.8989584,144.7266761,2017-11-01
0,1351365772,Tarneit Community Learning Centre,2018-08-02,169.4,,155.86,45.4,3.7,-37.8356421,144.6941024,2018-05-13
0,1619792799,Penrose Promenade Community Centre,2018-08-02,177.9,,163.71,53.0,3.4,-37.8382822,144.6730487,2017-11-01
0,1888236622,The Grange Community Centre,2018-08-02,124.2,,114.26,26.2,4.7,-37.8606474,144.6741657,2017-08-10
0,814693016,Quantin Binnah Community Centre,2018-08-02,213.7,,196.63,69.9,3.1,-37.8774751,144.656229,2017-09-14
0,1619801197,Wyndham Park Community Centre,2018-08-02,77.1,,70.9,18.3,4.2,-37.8855018,144.6732723,2017-08-10
0,815244814,Encore Events Centre,2018-08-02,69.8,,64.25,17.0,4.1,-37.8826502,144.6801697,2017-04-28
0,9165429,Werribee Outdoor Pool,2018-08-02,94.8,,87.26,29.8,3.2,-37.9060583,144.6496718,2017-06-20
0,1619781190,Aquapulse,2018-08-02,808.2,,743.51,220.8,3.7,-37.8826502,144.6801697,2017-06-30
0,275230395,Wyndham Vale CLC 2,2018-08-02,152.6,,140.41,42.0,3.6,-37.876461,144.6009897,2016-09-02
0,812101492,Wyndham Vale CLC 1,2018-08-02,251.0,,230.95,67.6,3.7,-37.8760627,144.6028453,2016-09-02
0,812366029,Central Park,2018-08-02,271.0,,249.29,99.1,2.7,-37.8725912,144.7157836,2016-07-25
0,543036464,Arndell Park,2018-08-02,129.9,,119.51,47.7,2.7,-37.8615565,144.7272116,2016-06-27
0,1343417,Haines Dr Sports Pavilion,2018-08-02,63.2,14.6,58.14,17.1,3.7,-37.896955,144.609415,2017-11-26
0,1344696,Wyndham Vale South Sports Pavilion,2018-08-02,54.9,19.4,50.53,27.3,2.0,-37.90219,144.625599,2017-12-06
0,1345225,Wootten Rd Sports Pavilion,2018-08-02,36.3,8.8,33.41,10.2,3.6,-37.858234,144.658926,2017-12-07
0,1348652,Glen Orden Sports Pavilion,2018-08-02,101.5,23.5,93.36,29.4,3.5,-37.884636,144.674662,2017-12-14
0,1363491,Manor Lakes Sports Pavilion,2018-08-02,36.4,6.6,33.46,10.8,3.4,-37.874294,144.6022525,2018-01-22
0,1408930,Chirnside Park - Home Change,2018-08-02,44.8,1.2,41.22,16.8,2.7,-37.905968,144.6491162,2018-05-09
0,1408949,Chirnside Park - Functions Room,2018-08-02,188.3,4.7,173.26,62.0,3.0,-37.906635,144.6518397,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-08-02,31.5,0.9,28.97,14.1,2.2,-37.9062784,144.6509724,2018-04-20
0,510010,Wyndham CC Iramoo,2018-08-02,112.0,46.2,103.01,35.2,3.2,-37.898376999999996,144.6244455,2017-07-26
0,541308,Wyndham CC Soccer,2018-08-02,65.0,25.8,59.81,16.0,4.1,-37.907423,144.7569655,2017-08-18
0,509173,Wyndham CC Cricket-Football,2018-08-02,128.3,48.8,118.07,33.3,3.9,-37.909188,144.7541248,2017-07-27
