,system_id,system_name,date_stamp,energy_prod(KWh),energy_life(MWh),C02 (Kg),KWp,performance,lat,lon,date_installed
0,1619781190,Aquapulse,2018-08-02,808.2,,743.51,220.8,3.7,-37.8826502,144.6801697,2017-06-30
0,1619781190,Aquapulse,2018-08-01,690.9,,635.62,220.8,3.1,-37.8826502,144.6801697,2017-06-30
0,1619781190,Aquapulse,2018-08-03,379.7,,349.32,220.8,1.7000000000000002,-37.8826502,144.6801697,2017-06-30
0,1619781190,Aquapulse,2018-08-06,580.9,,534.47,220.8,2.6,-37.8826502,144.6801697,2017-06-30
0,1619781190,Aquapulse,2018-08-04,427.2,,392.99,220.8,1.9,-37.8826502,144.6801697,2017-06-30
0,1619781190,Aquapulse,2018-08-05,838.5,,771.44,220.8,3.8,-37.8826502,144.6801697,2017-06-30
0,1619781190,Aquapulse,2018-08-07,659.5,,606.75,220.8,3.0,-37.8826502,144.6801697,2017-06-30
0,1619781190,Aquapulse,2018-08-10,873.5,,803.66,220.8,4.0,-37.8826502,144.6801697,2017-06-30
0,1619781190,Aquapulse,2018-08-08,522.5,,480.72,220.8,2.4,-37.8826502,144.6801697,2017-06-30
0,1619781190,Aquapulse,2018-08-12,729.6,,671.2,220.8,3.3,-37.8826502,144.6801697,2017-06-30
0,1619781190,Aquapulse,2018-08-13,489.0,,449.87,220.8,2.2,-37.8826502,144.6801697,2017-06-30
0,1619781190,Aquapulse,2019-09-26,1175.2,,1081.22,220.8,5.3,-37.8826502,144.6801697,2017-06-30
0,1619781190,Aquapulse,2019-09-27,448.2,,412.39,220.8,2,-37.8826502,144.6801697,2017-06-30
0,1619781190,Aquapulse,2019-09-28,736.6,,677.64,220.8,3.3,-37.8826502,144.6801697,2017-06-30
0,1619781190,Aquapulse,2019-09-29,622,,572.19,220.8,2.8,-37.8826502,144.6801697,2017-06-30
0,1619781190,Aquapulse,2019-10-01,1304,,1199.65,220.8,5.9,-37.8826502,144.6801697,2017-06-30
0,1619781190,Aquapulse,2019-09-30,719.6,,662.01,220.8,3.3,-37.8826502,144.6801697,2017-06-30
0,1619781190,Aquapulse,2019-10-06,768.9,,707.37,220.8,3.5,-37.8826502,144.6801697,2017-06-30
0,1619781190,Aquapulse,2019-10-02,1086.9,,999.92,220.8,4.9,-37.8826502,144.6801697,2017-06-30
0,1619781190,Aquapulse,2019-10-03,1254,,1153.73,220.8,5.7,-37.8826502,144.6801697,2017-06-30
0,1619781190,Aquapulse,2019-10-04,504.7,,464.36,220.8,2.3,-37.8826502,144.6801697,2017-06-30
0,1619781190,Aquapulse,2018-08-09,501.3,,461.15,220.8,2.3,-37.8826502,144.6801697,2017-06-30
