,system_id,system_name,date_stamp,energy_prod(KWh),energy_life(MWh),C02 (Kg),KWp,performance,lat,lon,date_installed
0,543036464,Arndell Park,2018-08-02,129.9,,119.51,47.7,2.7,-37.8615565,144.7272116,2016-06-27
0,543036464,Arndell Park,2018-08-01,109.4,,100.61,47.7,2.3,-37.8615565,144.7272116,2016-06-27
0,543036464,Arndell Park,2018-08-03,63.8,,58.74,47.7,1.3,-37.8615565,144.7272116,2016-06-27
0,543036464,Arndell Park,2018-08-06,90.8,,83.57,47.7,1.9,-37.8615565,144.7272116,2016-06-27
0,543036464,Arndell Park,2018-08-04,60.8,,55.96,47.7,1.3,-37.8615565,144.7272116,2016-06-27
0,543036464,Arndell Park,2018-08-05,131.9,,121.34,47.7,2.8,-37.8615565,144.7272116,2016-06-27
0,543036464,Arndell Park,2018-08-07,99.1,,91.16,47.7,2.1,-37.8615565,144.7272116,2016-06-27
0,543036464,Arndell Park,2018-08-10,141.5,,130.18,47.7,3.0,-37.8615565,144.7272116,2016-06-27
0,543036464,Arndell Park,2018-08-08,88.9,,81.78,47.7,1.9,-37.8615565,144.7272116,2016-06-27
0,543036464,Arndell Park,2018-08-12,115.3,,106.04,47.7,2.4,-37.8615565,144.7272116,2016-06-27
0,543036464,Arndell Park,2018-08-13,69.0,,63.44,47.7,1.5,-37.8615565,144.7272116,2016-06-27
0,543036464,Arndell Park,2019-09-26,204.1,,187.78,47.7,4.3,-37.8615565,144.7272116,2016-06-27
0,543036464,Arndell Park,2019-09-27,84.3,,77.58,47.7,1.8,-37.8615565,144.7272116,2016-06-27
0,543036464,Arndell Park,2019-09-28,141.1,,129.78,47.7,3,-37.8615565,144.7272116,2016-06-27
0,543036464,Arndell Park,2019-09-29,126.9,,116.75,47.7,2.7,-37.8615565,144.7272116,2016-06-27
0,543036464,Arndell Park,2019-10-01,226.4,,208.25,47.7,4.8,-37.8615565,144.7272116,2016-06-27
0,543036464,Arndell Park,2019-09-30,159.2,,146.46,47.7,3.3,-37.8615565,144.7272116,2016-06-27
0,543036464,Arndell Park,2019-10-02,172.4,,158.64,47.7,3.6,-37.8615565,144.7272116,2016-06-27
0,543036464,Arndell Park,2019-10-03,218.9,,201.42,47.7,4.6,-37.8615565,144.7272116,2016-06-27
0,543036464,Arndell Park,2018-08-09,85.5,,78.69,47.7,1.8,-37.8615565,144.7272116,2016-06-27
0,543036464,Arndell Park,2018-08-11,85.3,,78.5,47.7,1.8,-37.8615565,144.7272116,2016-06-27
0,543036464,Arndell Park,2018-08-19,103.4,,95.17,47.7,2.2,-37.8615565,144.7272116,2016-06-27
0,543036464,Arndell Park,2018-08-14,146.7,,134.92,47.7,3.1,-37.8615565,144.7272116,2016-06-27
0,543036464,Arndell Park,2018-08-15,126.1,,115.99,47.7,2.6,-37.8615565,144.7272116,2016-06-27
0,543036464,Arndell Park,2018-08-16,111.7,,102.72,47.7,2.3,-37.8615565,144.7272116,2016-06-27
0,543036464,Arndell Park,2018-08-17,143.7,,132.24,47.7,3,-37.8615565,144.7272116,2016-06-27
0,543036464,Arndell Park,2018-08-18,110.8,,101.97,47.7,2.3,-37.8615565,144.7272116,2016-06-27
0,543036464,Arndell Park,2018-08-21,77.5,,71.28,47.7,1.6,-37.8615565,144.7272116,2016-06-27
0,543036464,Arndell Park,2018-08-20,66.1,,60.83,47.7,1.4,-37.8615565,144.7272116,2016-06-27
0,543036464,Arndell Park,2018-08-24,164.6,,151.43,47.7,3.5,-37.8615565,144.7272116,2016-06-27
0,543036464,Arndell Park,2018-08-22,79.1,,72.73,47.7,1.7000000000000002,-37.8615565,144.7272116,2016-06-27
0,543036464,Arndell Park,2018-08-23,154.7,,142.28,47.7,3.2,-37.8615565,144.7272116,2016-06-27
