,system_id,system_name,date_stamp,energy_prod(KWh),energy_life(MWh),C02 (Kg),KWp,performance,lat,lon,date_installed
0,812366029,Central Park,2018-08-02,271.0,,249.29,99.1,2.7,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2018-08-01,227.7,,209.49,99.1,2.3,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2018-08-03,125.2,,115.15,99.1,1.3,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2018-08-06,187.6,,172.56,99.1,1.9,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2018-08-04,142.0,,130.63,99.1,1.4,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2018-08-05,268.1,,246.65,99.1,2.7,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2018-08-07,213.7,,196.63,99.1,2.2,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2018-08-10,282.1,,259.57,99.1,2.9,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2018-08-08,170.8,,157.15,99.1,1.7000000000000002,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2018-08-12,241.3,,221.97,99.1,2.4,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2018-08-13,159.1,,146.36,99.1,1.6,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2019-09-26,459.9,,423.09,99.1,4.6,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2019-09-27,189.9,,174.69,99.1,1.9,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2019-09-28,300.3,,276.23,99.1,3,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2019-09-29,278.6,,256.35,99.1,2.8,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2019-09-30,332.6,,306.01,99.1,3.4,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2019-10-06,319.2,,293.62,99.1,3.2,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2019-10-02,494.3,,454.73,99.1,5,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2019-10-03,503.2,,462.94,99.1,5.1,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2018-08-09,167.9,,154.5,99.1,1.7000000000000002,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2018-08-11,162.6,,149.55,99.1,1.6,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2018-08-19,198.8,,182.85,99.1,2,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2018-08-14,298.8,,274.86,99.1,3,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2018-08-15,249.1,,229.21,99.1,2.5,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2018-08-16,230.7,,212.22,99.1,2.3,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2018-08-17,315.6,,290.39,99.1,3.2,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2018-08-18,223.8,,205.93,99.1,2.3,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2018-08-21,170,,156.37,99.1,1.7000000000000002,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2018-08-20,125.7,,115.64,99.1,1.3,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2018-08-24,325.4,,299.39,99.1,3.3,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2018-08-22,184.3,,169.54,99.1,1.9,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2018-08-23,302.6,,278.41,99.1,3.1,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2018-08-25,327.4,,301.23,99.1,3.3,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2018-08-26,310.3,,285.44,99.1,3.1,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2018-08-27,335.9,,308.99,99.1,3.4,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2018-08-28,294.7,,271.14,99.1,3,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2018-08-29,351.6,,323.51,99.1,3.6,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2018-08-30,55.6,,51.14,99.1,0.6000000000000001,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2018-08-31,92.7,,85.3,99.1,0.9,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2018-09-01,158.2,,145.52,99.1,1.6,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2018-09-02,309.8,,285.03,99.1,3.1,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2018-09-03,343.5,,316.05,99.1,3.5,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2018-09-04,363.5,,334.44,99.1,3.7,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2018-09-09,167.3,,153.95,99.1,1.7000000000000002,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2018-09-05,321.1,,295.42,99.1,3.2,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2018-09-06,274.4,,252.49,99.1,2.8,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2018-09-07,245.3,,225.66,99.1,2.5,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2018-09-08,352,,323.82,99.1,3.6,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2018-09-10,179,,164.66,99.1,1.8,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2018-09-11,373.2,,343.38,99.1,3.8,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2018-09-12,325.1,,299.06,99.1,3.3,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2018-09-13,372.5,,342.7,99.1,3.8,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2018-09-14,378.4,,348.13,99.1,3.8,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2018-09-15,228.6,,210.35,99.1,2.3,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2018-09-16,334.8,,308.01,99.1,3.4,-37.8725912,144.7157836,2016-07-25
0,812366029,Central Park,2018-09-17,390.4,,359.19,99.1,3.9,-37.8725912,144.7157836,2016-07-25
