,system_id,system_name,date_stamp,energy_prod(KWh),energy_life(MWh),C02 (Kg),KWp,performance,lat,lon,date_installed
0,1408953,Chirnside Park - Common Area,2018-08-02,31.5,0.9,28.97,14.1,2.2,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-08-01,31.2,0.9,28.74,14.1,2.2,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-08-03,20.0,1.0,18.43,14.1,1.4,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-08-06,27.4,1.0,25.24,14.1,2.0,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-08-04,19.6,1.0,18.04,14.1,1.4,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-08-05,32.1,1,29.56,14.1,2.3,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-08-10,34.8,1.1,31.99,14.1,2.5,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-08-07,29.3,1.1,26.92,14.1,2.1,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-08-08,25.3,1.1,23.29,14.1,1.8,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-08-12,33.7,1.2,30.96,14.1,2.4,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2019-09-26,48.4,17.1,44.51,14.1,3.4,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2019-09-27,23.6,17.2,21.72,14.1,1.7000000000000002,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2019-09-28,37.1,17.2,34.17,14.1,2.6,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2019-09-29,30.5,17.2,28.03,14.1,2.2,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2019-10-01,57,17.3,52.44,14.1,4.1,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2019-09-30,33.3,17.3,30.64,14.1,2.4,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2019-10-02,50.4,17.3,46.35,14.1,3.6,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2019-10-06,37.5,17.5,34.46,14.1,2.7,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2019-10-03,56.7,17.4,52.12,14.1,4,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-08-09,23.5,1.1,21.63,14.1,1.7000000000000002,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-08-11,23.7,1.2,21.77,14.1,1.7000000000000002,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-08-13,24.7,1.2,22.76,14.1,1.8,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-08-14,37.7,1.3,34.64,14.1,2.7,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-08-15,36.1,1.3,33.25,14.1,2.6,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-08-16,31.9,1.3,29.31,14.1,2.3,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-08-17,38.8,1.4,35.69,14.1,2.8,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-08-18,29.8,1.4,27.4,14.1,2.1,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-08-19,28.2,1.4,25.98,14.1,2,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-08-20,22.4,1.5,20.58,14.1,1.6,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-08-21,27.9,1.5,25.71,14.1,2,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-08-24,44.3,1.6,40.78,14.1,3.2,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-08-22,27.6,1.5,25.42,14.1,2,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-08-23,43.1,1.5,39.67,14.1,3.1,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-08-25,44.9,1.6,41.3,14.1,3.2,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-08-26,42.7,1.7,39.32,14.1,3,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-08-27,40.8,1.7,37.55,14.1,2.9,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-08-28,41.6,1.8,38.31,14.1,3,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-08-29,48,1.8,44.15,14.1,3.4,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-08-30,9.7,1.8,8.96,14.1,0.7000000000000001,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-08-31,17.4,1.9,15.98,14.1,1.2,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-09-01,28.9,1.9,26.62,14.1,2.1,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-09-02,38.2,1.9,35.16,14.1,2.7,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-09-03,43.4,1.9,39.97,14.1,3.1,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-09-04,43.4,2.0,39.93,14.1,3.1,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-09-09,30.3,2.2,27.91,14.1,2.2,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-09-05,42.3,2.0,38.95,14.1,3,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-09-06,36,2.1,33.13,14.1,2.6,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-09-07,37.5,2.1,34.49,14.1,2.7,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-09-08,48.1,2.1,44.28,14.1,3.4,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-09-10,26.9,2.2,24.71,14.1,1.9,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-09-11,51.8,2.3,47.66,14.1,3.7,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-09-12,44.5,2.3,40.93,14.1,3.2,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-09-13,52.7,2.3,48.51,14.1,3.8,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-09-14,53.1,2.4,48.81,14.1,3.8,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-09-15,33.4,2.5,30.71,14.1,2.4,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-09-16,43.2,2.5,39.76,14.1,3.1,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-09-17,51.4,2.5,47.25,14.1,3.7,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-09-18,28,2.6,25.72,14.1,2,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-09-19,45.6,2.6,41.95,14.1,3.2,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-09-21,44.8,2.7,41.23,14.1,3.2,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-09-20,43,2.7,39.55,14.1,3.1,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-09-22,51.4,2.7,47.3,14.1,3.7,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-09-23,32.3,2.8,29.67,14.1,2.3,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-09-24,56.5,2.8,51.95,14.1,4,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-09-25,43.6,2.9,40.11,14.1,3.1,-37.9062784,144.6509724,2018-04-20
0,1408953,Chirnside Park - Common Area,2018-09-26,57.2,2.9,52.64,14.1,4.1,-37.9062784,144.6509724,2018-04-20
