,system_id,system_name,date_stamp,energy_prod(KWh),energy_life(MWh),C02 (Kg),KWp,performance,lat,lon,date_installed
0,1408949,Chirnside Park - Functions Room,2018-08-02,188.3,4.7,173.26,62.0,3.0,-37.906635,144.6518397,2018-04-20
0,1408949,Chirnside Park - Functions Room,2018-08-01,168.1,4.5,154.68,62.0,2.7,-37.906635,144.6518397,2018-04-20
0,1408949,Chirnside Park - Functions Room,2018-08-03,85.2,4.9,78.38,62.0,1.4,-37.906635,144.6518397,2018-04-20
0,1408949,Chirnside Park - Functions Room,2018-08-06,128.2,5.2,117.94,62.0,2.1,-37.906635,144.6518397,2018-04-20
0,1408949,Chirnside Park - Functions Room,2018-08-04,69.3,5.0,63.76,62.0,1.1,-37.906635,144.6518397,2018-04-20
0,1408949,Chirnside Park - Functions Room,2018-08-05,169.8,5.0,156.2,62.0,2.7,-37.906635,144.6518397,2018-04-20
0,1408949,Chirnside Park - Functions Room,2018-08-10,174.6,5.7,160.65,62.0,2.8,-37.906635,144.6518397,2018-04-20
0,1408949,Chirnside Park - Functions Room,2018-08-07,143.2,5.3,131.74,62.0,2.3,-37.906635,144.6518397,2018-04-20
0,1408949,Chirnside Park - Functions Room,2018-08-08,120.9,5.5,111.25,62.0,2.0,-37.906635,144.6518397,2018-04-20
0,1408949,Chirnside Park - Functions Room,2018-08-12,147.1,6.0,135.33,62.0,2.4,-37.906635,144.6518397,2018-04-20
0,1408949,Chirnside Park - Functions Room,2019-09-26,203.3,64.8,187.03,62.0,3.3,-37.906635,144.6518397,2018-04-20
0,1408949,Chirnside Park - Functions Room,2019-09-27,114.3,65.0,105.11,62.0,1.8,-37.906635,144.6518397,2018-04-20
0,1408949,Chirnside Park - Functions Room,2019-09-28,165.3,65.2,152.06,62.0,2.7,-37.906635,144.6518397,2018-04-20
0,1408949,Chirnside Park - Functions Room,2019-09-29,127,65.3,116.85,62.0,2.1,-37.906635,144.6518397,2018-04-20
0,1408949,Chirnside Park - Functions Room,2019-10-01,222,65.6,204.23,62.0,3.6,-37.906635,144.6518397,2018-04-20
0,1408949,Chirnside Park - Functions Room,2019-09-30,157.5,65.5,144.87,62.0,2.5,-37.906635,144.6518397,2018-04-20
0,1408949,Chirnside Park - Functions Room,2019-10-02,195.3,65.8,179.66,62.0,3.2,-37.906635,144.6518397,2018-04-20
0,1408949,Chirnside Park - Functions Room,2019-10-06,158.3,66.6,145.59,62.0,2.6,-37.906635,144.6518397,2018-04-20
0,1408949,Chirnside Park - Functions Room,2019-10-03,222.9,66.0,205.04,62.0,3.6,-37.906635,144.6518397,2018-04-20
0,1408949,Chirnside Park - Functions Room,2018-08-09,121.6,5.6,111.85,62.0,2,-37.906635,144.6518397,2018-04-20
0,1408949,Chirnside Park - Functions Room,2018-08-11,113,5.9,103.99,62.0,1.8,-37.906635,144.6518397,2018-04-20
0,1408949,Chirnside Park - Functions Room,2018-08-13,111.6,6.1,102.64,62.0,1.8,-37.906635,144.6518397,2018-04-20
0,1408949,Chirnside Park - Functions Room,2018-08-14,195.2,6.3,179.62,62.0,3.2,-37.906635,144.6518397,2018-04-20
0,1408949,Chirnside Park - Functions Room,2018-08-15,165.8,6.4,152.51,62.0,2.7,-37.906635,144.6518397,2018-04-20
0,1408949,Chirnside Park - Functions Room,2018-08-16,142.6,6.6,131.21,62.0,2.3,-37.906635,144.6518397,2018-04-20
0,1408949,Chirnside Park - Functions Room,2018-08-17,186.9,6.8,171.95,62.0,3,-37.906635,144.6518397,2018-04-20
