,system_id,system_name,date_stamp,energy_prod(KWh),energy_life(MWh),C02 (Kg),KWp,performance,lat,lon,date_installed
0,815244814,Encore Events Centre,2018-08-02,69.8,,64.25,17.0,4.1,-37.8826502,144.6801697,2017-04-28
0,815244814,Encore Events Centre,2018-08-01,63.3,,58.2,17.0,3.7,-37.8826502,144.6801697,2017-04-28
0,815244814,Encore Events Centre,2018-08-03,31.7,,29.13,17.0,1.9,-37.8826502,144.6801697,2017-04-28
0,815244814,Encore Events Centre,2018-08-06,50.8,,46.75,17.0,3.0,-37.8826502,144.6801697,2017-04-28
0,815244814,Encore Events Centre,2018-08-04,38.0,,34.93,17.0,2.2,-37.8826502,144.6801697,2017-04-28
0,815244814,Encore Events Centre,2018-08-05,75.7,,69.68,17.0,4.5,-37.8826502,144.6801697,2017-04-28
0,815244814,Encore Events Centre,2018-08-07,63.0,,57.93,17.0,3.7,-37.8826502,144.6801697,2017-04-28
0,815244814,Encore Events Centre,2018-08-10,77.7,,71.51,17.0,4.6,-37.8826502,144.6801697,2017-04-28
0,815244814,Encore Events Centre,2018-08-08,45.3,,41.68,17.0,2.7,-37.8826502,144.6801697,2017-04-28
0,815244814,Encore Events Centre,2018-08-12,63.5,,58.38,17.0,3.7,-37.8826502,144.6801697,2017-04-28
0,815244814,Encore Events Centre,2018-08-13,41.6,,38.29,17.0,2.5,-37.8826502,144.6801697,2017-04-28
0,815244814,Encore Events Centre,2019-09-26,96.0,,88.3,17.0,5.7,-37.8826502,144.6801697,2017-04-28
0,815244814,Encore Events Centre,2019-09-27,37,,34.01,17.0,2.2,-37.8826502,144.6801697,2017-04-28
0,815244814,Encore Events Centre,2019-09-28,61.1,,56.23,17.0,3.6,-37.8826502,144.6801697,2017-04-28
0,815244814,Encore Events Centre,2019-09-29,50.7,,46.62,17.0,3,-37.8826502,144.6801697,2017-04-28
0,815244814,Encore Events Centre,2019-10-01,107.9,,99.28,17.0,6.4,-37.8826502,144.6801697,2017-04-28
0,815244814,Encore Events Centre,2019-09-30,60.8,,55.9,17.0,3.6,-37.8826502,144.6801697,2017-04-28
0,815244814,Encore Events Centre,2019-10-06,61.6,,56.71,17.0,3.6,-37.8826502,144.6801697,2017-04-28
0,815244814,Encore Events Centre,2019-10-02,88.8,,81.73,17.0,5.2,-37.8826502,144.6801697,2017-04-28
0,815244814,Encore Events Centre,2019-10-03,103.3,,95.08,17.0,6.1,-37.8826502,144.6801697,2017-04-28
0,815244814,Encore Events Centre,2019-10-04,40.8,,37.56,17.0,2.4,-37.8826502,144.6801697,2017-04-28
0,815244814,Encore Events Centre,2018-08-09,44,,40.44,17.0,2.6,-37.8826502,144.6801697,2017-04-28
0,815244814,Encore Events Centre,2018-08-11,40.2,,37.0,17.0,2.4,-37.8826502,144.6801697,2017-04-28
0,815244814,Encore Events Centre,2018-08-19,51.5,,47.39,17.0,3,-37.8826502,144.6801697,2017-04-28
0,815244814,Encore Events Centre,2018-08-14,83.2,,76.58,17.0,4.9,-37.8826502,144.6801697,2017-04-28
0,815244814,Encore Events Centre,2018-08-15,72,,66.21,17.0,4.2,-37.8826502,144.6801697,2017-04-28
0,815244814,Encore Events Centre,2018-08-16,59.9,,55.15,17.0,3.5,-37.8826502,144.6801697,2017-04-28
0,815244814,Encore Events Centre,2018-08-18,59.5,,54.76,17.0,3.5,-37.8826502,144.6801697,2017-04-28
0,815244814,Encore Events Centre,2018-08-17,82.3,,75.74,17.0,4.8,-37.8826502,144.6801697,2017-04-28
0,815244814,Encore Events Centre,2018-08-21,42.4,,39.01,17.0,2.5,-37.8826502,144.6801697,2017-04-28
0,815244814,Encore Events Centre,2018-08-20,28.5,,26.19,17.0,1.7000000000000002,-37.8826502,144.6801697,2017-04-28
0,815244814,Encore Events Centre,2018-08-24,88.9,,81.82,17.0,5.2,-37.8826502,144.6801697,2017-04-28
0,815244814,Encore Events Centre,2018-08-22,47,,43.25,17.0,2.8,-37.8826502,144.6801697,2017-04-28
0,815244814,Encore Events Centre,2018-08-23,84.7,,77.9,17.0,5,-37.8826502,144.6801697,2017-04-28
0,815244814,Encore Events Centre,2018-08-25,89.2,,82.09,17.0,5.3,-37.8826502,144.6801697,2017-04-28
0,815244814,Encore Events Centre,2018-08-26,82.3,,75.73,17.0,4.8,-37.8826502,144.6801697,2017-04-28
0,815244814,Encore Events Centre,2018-08-27,86.9,,79.96,17.0,5.1,-37.8826502,144.6801697,2017-04-28
0,815244814,Encore Events Centre,2018-08-28,82.3,,75.69,17.0,4.8,-37.8826502,144.6801697,2017-04-28
