,system_id,system_name,date_stamp,energy_prod(KWh),energy_life(MWh),C02 (Kg),KWp,performance,lat,lon,date_installed
0,1351535955,Featherbrook Community Centre,2018-08-02,151.0,,138.96,55.1,2.7,-37.8989584,144.7266761,2017-11-01
0,1351535955,Featherbrook Community Centre,2018-08-03,63.3,,58.25,55.1,1.2,-37.8989584,144.7266761,2017-11-01
0,1351535955,Featherbrook Community Centre,2018-08-01,105.6,,97.18,55.1,1.9,-37.8989584,144.7266761,2017-11-01
0,1351535955,Featherbrook Community Centre,2018-08-06,85.8,,78.94,55.1,1.6,-37.8989584,144.7266761,2017-11-01
0,1351535955,Featherbrook Community Centre,2018-08-04,69.0,,63.5,55.1,1.3,-37.8989584,144.7266761,2017-11-01
0,1351535955,Featherbrook Community Centre,2018-08-07,109.4,,100.64,55.1,2.0,-37.8989584,144.7266761,2017-11-01
0,1351535955,Featherbrook Community Centre,2018-08-05,149.0,,137.1,55.1,2.7,-37.8989584,144.7266761,2017-11-01
0,1351535955,Featherbrook Community Centre,2018-08-10,152.9,,140.71,55.1,2.8,-37.8989584,144.7266761,2017-11-01
0,1351535955,Featherbrook Community Centre,2018-08-13,77.0,,70.8,55.1,1.4,-37.8989584,144.7266761,2017-11-01
0,1351535955,Featherbrook Community Centre,2018-08-08,91.4,,84.06,55.1,1.7000000000000002,-37.8989584,144.7266761,2017-11-01
0,1351535955,Featherbrook Community Centre,2018-08-12,117.9,,108.47,55.1,2.1,-37.8989584,144.7266761,2017-11-01
0,1351535955,Featherbrook Community Centre,2019-09-26,193.5,,178.04,55.1,3.5,-37.8989584,144.7266761,2017-11-01
0,1351535955,Featherbrook Community Centre,2019-09-30,161.2,,148.27,55.1,2.9,-37.8989584,144.7266761,2017-11-01
0,1351535955,Featherbrook Community Centre,2019-09-27,79.5,,73.1,55.1,1.4,-37.8989584,144.7266761,2017-11-01
0,1351535955,Featherbrook Community Centre,2019-09-28,150.2,,138.21,55.1,2.7,-37.8989584,144.7266761,2017-11-01
0,1351535955,Featherbrook Community Centre,2019-09-29,131.4,,120.91,55.1,2.4,-37.8989584,144.7266761,2017-11-01
0,1351535955,Featherbrook Community Centre,2019-10-01,227.5,,209.31,55.1,4.1,-37.8989584,144.7266761,2017-11-01
0,1351535955,Featherbrook Community Centre,2019-10-02,169.2,,155.62,55.1,3.1,-37.8989584,144.7266761,2017-11-01
0,1351535955,Featherbrook Community Centre,2019-10-03,218.3,,200.87,55.1,4,-37.8989584,144.7266761,2017-11-01
0,1351535955,Featherbrook Community Centre,2018-08-09,81.3,,74.83,55.1,1.5,-37.8989584,144.7266761,2017-11-01
0,1351535955,Featherbrook Community Centre,2018-08-19,106.8,,98.25,55.1,1.9,-37.8989584,144.7266761,2017-11-01
0,1351535955,Featherbrook Community Centre,2018-08-11,86.4,,79.51,55.1,1.6,-37.8989584,144.7266761,2017-11-01
0,1351535955,Featherbrook Community Centre,2018-08-14,162.4,,149.44,55.1,3,-37.8989584,144.7266761,2017-11-01
0,1351535955,Featherbrook Community Centre,2018-08-15,149.7,,137.75,55.1,2.7,-37.8989584,144.7266761,2017-11-01
0,1351535955,Featherbrook Community Centre,2018-08-18,109.8,,101.01,55.1,2,-37.8989584,144.7266761,2017-11-01
0,1351535955,Featherbrook Community Centre,2018-08-16,102.2,,93.98,55.1,1.9,-37.8989584,144.7266761,2017-11-01
0,1351535955,Featherbrook Community Centre,2018-08-17,159.5,,146.7,55.1,2.9,-37.8989584,144.7266761,2017-11-01
0,1351535955,Featherbrook Community Centre,2018-08-21,79.2,,72.83,55.1,1.4,-37.8989584,144.7266761,2017-11-01
0,1351535955,Featherbrook Community Centre,2018-08-20,57.7,,53.08,55.1,1.1,-37.8989584,144.7266761,2017-11-01
0,1351535955,Featherbrook Community Centre,2018-08-24,177,,162.81,55.1,3.2,-37.8989584,144.7266761,2017-11-01
