,system_id,system_name,date_stamp,energy_prod(KWh),energy_life(MWh),C02 (Kg),KWp,performance,lat,lon,date_installed
0,1348652,Glen Orden Sports Pavilion,2018-08-02,101.5,23.5,93.36,29.4,3.5,-37.884636,144.674662,2017-12-14
0,1348652,Glen Orden Sports Pavilion,2018-08-01,86.0,23.4,79.14,29.4,2.9,-37.884636,144.674662,2017-12-14
0,1348652,Glen Orden Sports Pavilion,2018-08-03,45.8,23.6,42.1,29.4,1.6,-37.884636,144.674662,2017-12-14
0,1348652,Glen Orden Sports Pavilion,2018-08-06,72.7,23.8,66.84,29.4,2.5,-37.884636,144.674662,2017-12-14
0,1348652,Glen Orden Sports Pavilion,2018-08-04,48.4,23.7,44.55,29.4,1.7000000000000002,-37.884636,144.674662,2017-12-14
0,1348652,Glen Orden Sports Pavilion,2018-08-05,102.9,23.7,94.67,29.4,3.5,-37.884636,144.674662,2017-12-14
0,1348652,Glen Orden Sports Pavilion,2018-08-10,107.8,24.1,99.14,29.4,3.7,-37.884636,144.674662,2017-12-14
0,1348652,Glen Orden Sports Pavilion,2018-08-07,79.7,23.9,73.3,29.4,2.7,-37.884636,144.674662,2017-12-14
0,1348652,Glen Orden Sports Pavilion,2018-08-08,63.5,24.0,58.42,29.4,2.2,-37.884636,144.674662,2017-12-14
0,1348652,Glen Orden Sports Pavilion,2018-08-12,84.7,24.3,77.91,29.4,2.9,-37.884636,144.674662,2017-12-14
0,1348652,Glen Orden Sports Pavilion,2019-09-26,135.1,66.8,124.28,29.4,4.6,-37.884636,144.674662,2017-12-14
0,1348652,Glen Orden Sports Pavilion,2019-09-27,60.3,67.0,55.51,29.4,2.1,-37.884636,144.674662,2017-12-14
0,1348652,Glen Orden Sports Pavilion,2019-09-28,91,67.0,83.69,29.4,3.1,-37.884636,144.674662,2017-12-14
0,1348652,Glen Orden Sports Pavilion,2019-09-29,72.5,67.1,66.73,29.4,2.5,-37.884636,144.674662,2017-12-14
0,1348652,Glen Orden Sports Pavilion,2019-10-01,156.8,67.3,144.28,29.4,5.3,-37.884636,144.674662,2017-12-14
0,1348652,Glen Orden Sports Pavilion,2019-09-30,26.6,67.2,24.45,29.4,0.9,-37.884636,144.674662,2017-12-14
0,1348652,Glen Orden Sports Pavilion,2019-10-06,86.6,67.9,79.71,29.4,3,-37.884636,144.674662,2017-12-14
0,1348652,Glen Orden Sports Pavilion,2019-10-02,127.2,67.4,117.05,29.4,4.3,-37.884636,144.674662,2017-12-14
0,1348652,Glen Orden Sports Pavilion,2019-10-03,152.5,67.6,140.26,29.4,5.2,-37.884636,144.674662,2017-12-14
0,1348652,Glen Orden Sports Pavilion,2018-08-09,67.3,24.0,61.94,29.4,2.3,-37.884636,144.674662,2017-12-14
0,1348652,Glen Orden Sports Pavilion,2018-08-11,58.9,24.2,54.15,29.4,2,-37.884636,144.674662,2017-12-14
0,1348652,Glen Orden Sports Pavilion,2018-08-13,62.2,24.4,57.26,29.4,2.1,-37.884636,144.674662,2017-12-14
