,system_id,system_name,date_stamp,energy_prod(KWh),energy_life(MWh),C02 (Kg),KWp,performance,lat,lon,date_installed
0,1343417,Haines Dr Sports Pavilion,2018-08-02,63.2,14.6,58.14,17.1,3.7,-37.896955,144.609415,2017-11-26
0,1343417,Haines Dr Sports Pavilion,2018-08-01,55.5,14.6,51.09,17.1,3.3,-37.896955,144.609415,2017-11-26
0,1343417,Haines Dr Sports Pavilion,2018-08-03,29.4,14.7,27.05,17.1,1.7000000000000002,-37.896955,144.609415,2017-11-26
0,1343417,Haines Dr Sports Pavilion,2018-08-06,47.3,14.8,43.47,17.1,2.8,-37.896955,144.609415,2017-11-26
0,1343417,Haines Dr Sports Pavilion,2018-08-04,29.5,14.7,27.16,17.1,1.7000000000000002,-37.896955,144.609415,2017-11-26
0,1343417,Haines Dr Sports Pavilion,2018-08-05,65.6,14.7,60.31,17.1,3.8,-37.896955,144.609415,2017-11-26
0,1343417,Haines Dr Sports Pavilion,2018-08-07,54.0,14.9,49.64,17.1,3.2,-37.896955,144.609415,2017-11-26
0,1343417,Haines Dr Sports Pavilion,2018-08-10,67.2,15.0,61.79,17.1,3.9,-37.896955,144.609415,2017-11-26
0,1343417,Haines Dr Sports Pavilion,2018-08-08,41.0,14.9,37.72,17.1,2.4,-37.896955,144.609415,2017-11-26
0,1343417,Haines Dr Sports Pavilion,2018-08-12,53.5,15.1,49.17,17.1,3.1,-37.896955,144.609415,2017-11-26
0,1343417,Haines Dr Sports Pavilion,2019-09-26,89.7,41.6,82.52,17.1,5.3,-37.896955,144.609415,2017-11-26
0,1343417,Haines Dr Sports Pavilion,2019-09-27,39.4,41.7,36.23,17.1,2.3,-37.896955,144.609415,2017-11-26
0,1343417,Haines Dr Sports Pavilion,2019-09-28,63.1,41.7,58.07,17.1,3.7,-37.896955,144.609415,2017-11-26
0,1343417,Haines Dr Sports Pavilion,2019-09-29,47.6,41.8,43.8,17.1,2.8,-37.896955,144.609415,2017-11-26
0,1343417,Haines Dr Sports Pavilion,2019-10-01,102.1,41.9,93.9,17.1,6,-37.896955,144.609415,2017-11-26
0,1343417,Haines Dr Sports Pavilion,2019-09-30,48.9,41.8,44.99,17.1,2.9,-37.896955,144.609415,2017-11-26
0,1343417,Haines Dr Sports Pavilion,2019-10-06,63.3,42.3,58.26,17.1,3.7,-37.896955,144.609415,2017-11-26
0,1343417,Haines Dr Sports Pavilion,2019-10-02,82.1,42.0,75.53,17.1,4.8,-37.896955,144.609415,2017-11-26
