,system_id,system_name,date_stamp,energy_prod(KWh),energy_life(MWh),C02 (Kg),KWp,performance,lat,lon,date_installed
0,1888434222,Iramoo Community Centre ,2018-08-01,97.7,,89.84,35.2,2.8,-37.8983257,144.6227181,2017-10-27
0,1888434222,Iramoo Community Centre ,2018-08-02,112.0,,103.01,35.2,3.2,-37.8983257,144.6227181,2017-10-27
0,1888434222,Iramoo Community Centre ,2018-08-03,55.1,,50.7,35.2,1.6,-37.8983257,144.6227181,2017-10-27
0,1888434222,Iramoo Community Centre ,2018-08-06,85.7,,78.83,35.2,2.4,-37.8983257,144.6227181,2017-10-27
0,1888434222,Iramoo Community Centre ,2018-08-04,51.5,,47.34,35.2,1.5,-37.8983257,144.6227181,2017-10-27
0,1888434222,Iramoo Community Centre ,2018-08-07,96.0,,88.36,35.2,2.7,-37.8983257,144.6227181,2017-10-27
0,1888434222,Iramoo Community Centre ,2018-08-05,116.6,,107.31,35.2,3.3,-37.8983257,144.6227181,2017-10-27
0,1888434222,Iramoo Community Centre ,2018-08-10,120.4,,110.78,35.2,3.4,-37.8983257,144.6227181,2017-10-27
0,1888434222,Iramoo Community Centre ,2018-08-13,65.1,,59.9,35.2,1.9,-37.8983257,144.6227181,2017-10-27
0,1888434222,Iramoo Community Centre ,2018-08-08,77.1,,70.89,35.2,2.2,-37.8983257,144.6227181,2017-10-27
0,1888434222,Iramoo Community Centre ,2018-08-12,95.1,,87.5,35.2,2.7,-37.8983257,144.6227181,2017-10-27
0,1888434222,Iramoo Community Centre ,2019-09-26,165.4,,152.13,35.2,4.7,-37.8983257,144.6227181,2017-10-27
0,1888434222,Iramoo Community Centre ,2019-09-30,95.5,,87.89,35.2,2.7,-37.8983257,144.6227181,2017-10-27
0,1888434222,Iramoo Community Centre ,2019-09-27,72.3,,66.52,35.2,2.1,-37.8983257,144.6227181,2017-10-27
0,1888434222,Iramoo Community Centre ,2019-09-28,118.6,,109.1,35.2,3.4,-37.8983257,144.6227181,2017-10-27
0,1888434222,Iramoo Community Centre ,2019-09-29,90.4,,83.18,35.2,2.6,-37.8983257,144.6227181,2017-10-27
0,1888434222,Iramoo Community Centre ,2019-10-01,188.4,,173.36,35.2,5.4,-37.8983257,144.6227181,2017-10-27
0,1888434222,Iramoo Community Centre ,2019-10-03,181.3,,166.82,35.2,5.2,-37.8983257,144.6227181,2017-10-27
0,1888434222,Iramoo Community Centre ,2019-10-06,121.7,,111.95,35.2,3.5,-37.8983257,144.6227181,2017-10-27
0,1888434222,Iramoo Community Centre ,2019-10-02,152.6,,140.37,35.2,4.3,-37.8983257,144.6227181,2017-10-27
0,1888434222,Iramoo Community Centre ,2019-10-07,109.4,,100.63,35.2,3.1,-37.8983257,144.6227181,2017-10-27
0,1888434222,Iramoo Community Centre ,2019-10-04,78.4,,72.16,35.2,2.2,-37.8983257,144.6227181,2017-10-27
