,system_id,system_name,date_stamp,energy_prod(KWh),energy_life(MWh),C02 (Kg),KWp,performance,lat,lon,date_installed
0,1351555221,Jamieson Way Community Centre ,2018-08-02,144.4,,132.83,34.3,4.2,-37.8956317,144.7443843,2017-07-27
0,1351555221,Jamieson Way Community Centre ,2018-08-03,62.0,,57.08,34.3,1.8,-37.8956317,144.7443843,2017-07-27
0,1351555221,Jamieson Way Community Centre ,2018-08-01,104.4,,96.02,34.3,3.0,-37.8956317,144.7443843,2017-07-27
0,1351555221,Jamieson Way Community Centre ,2018-08-06,86.8,,79.86,34.3,2.5,-37.8956317,144.7443843,2017-07-27
0,1351555221,Jamieson Way Community Centre ,2018-08-04,72.6,,66.8,34.3,2.1,-37.8956317,144.7443843,2017-07-27
0,1351555221,Jamieson Way Community Centre ,2018-08-07,105.5,,97.01,34.3,3.1,-37.8956317,144.7443843,2017-07-27
0,1351555221,Jamieson Way Community Centre ,2018-08-05,141.0,,129.71,34.3,4.1,-37.8956317,144.7443843,2017-07-27
0,1351555221,Jamieson Way Community Centre ,2018-08-10,143.0,,131.52,34.3,4.2,-37.8956317,144.7443843,2017-07-27
0,1351555221,Jamieson Way Community Centre ,2018-08-13,69.7,,64.13,34.3,2.0,-37.8956317,144.7443843,2017-07-27
0,1351555221,Jamieson Way Community Centre ,2018-08-08,90.5,,83.23,34.3,2.6,-37.8956317,144.7443843,2017-07-27
0,1351555221,Jamieson Way Community Centre ,2018-08-12,121.4,,111.66,34.3,3.5,-37.8956317,144.7443843,2017-07-27
0,1351555221,Jamieson Way Community Centre ,2019-09-26,179.1,,164.81,34.3,5.2,-37.8956317,144.7443843,2017-07-27
0,1351555221,Jamieson Way Community Centre ,2019-09-30,140.6,,129.33,34.3,4.1,-37.8956317,144.7443843,2017-07-27
0,1351555221,Jamieson Way Community Centre ,2019-09-27,68.7,,63.19,34.3,2,-37.8956317,144.7443843,2017-07-27
0,1351555221,Jamieson Way Community Centre ,2019-09-28,126.1,,115.99,34.3,3.7,-37.8956317,144.7443843,2017-07-27
0,1351555221,Jamieson Way Community Centre ,2019-09-29,122.1,,112.31,34.3,3.6,-37.8956317,144.7443843,2017-07-27
0,1351555221,Jamieson Way Community Centre ,2019-10-01,209.2,,192.46,34.3,6.1,-37.8956317,144.7443843,2017-07-27
0,1351555221,Jamieson Way Community Centre ,2019-10-03,201.5,,185.35,34.3,5.9,-37.8956317,144.7443843,2017-07-27
0,1351555221,Jamieson Way Community Centre ,2019-10-06,121.6,,111.86,34.3,3.6,-37.8956317,144.7443843,2017-07-27
0,1351555221,Jamieson Way Community Centre ,2019-10-02,159.5,,146.79,34.3,4.7,-37.8956317,144.7443843,2017-07-27
0,1351555221,Jamieson Way Community Centre ,2019-10-04,77.6,,71.37,34.3,2.3,-37.8956317,144.7443843,2017-07-27
0,1351555221,Jamieson Way Community Centre ,2018-08-09,77.6,,71.36,34.3,2.3,-37.8956317,144.7443843,2017-07-27
0,1351555221,Jamieson Way Community Centre ,2018-08-19,100,,92.03,34.3,2.9,-37.8956317,144.7443843,2017-07-27
0,1351555221,Jamieson Way Community Centre ,2018-08-11,75.6,,69.59,34.3,2.2,-37.8956317,144.7443843,2017-07-27
0,1351555221,Jamieson Way Community Centre ,2018-08-14,156.7,,144.17,34.3,4.6,-37.8956317,144.7443843,2017-07-27
0,1351555221,Jamieson Way Community Centre ,2018-08-15,132.1,,121.54,34.3,3.9,-37.8956317,144.7443843,2017-07-27
0,1351555221,Jamieson Way Community Centre ,2018-08-18,110.6,,101.71,34.3,3.2,-37.8956317,144.7443843,2017-07-27
0,1351555221,Jamieson Way Community Centre ,2018-08-16,99.2,,91.26,34.3,2.9,-37.8956317,144.7443843,2017-07-27
0,1351555221,Jamieson Way Community Centre ,2018-08-17,158.5,,145.82,34.3,4.6,-37.8956317,144.7443843,2017-07-27
0,1351555221,Jamieson Way Community Centre ,2018-08-21,73.4,,67.52,34.3,2.1,-37.8956317,144.7443843,2017-07-27
0,1351555221,Jamieson Way Community Centre ,2018-08-20,54,,49.66,34.3,1.6,-37.8956317,144.7443843,2017-07-27
0,1351555221,Jamieson Way Community Centre ,2018-08-22,81.6,,75.03,34.3,2.4,-37.8956317,144.7443843,2017-07-27
0,1351555221,Jamieson Way Community Centre ,2018-08-24,167.2,,153.78,34.3,4.9,-37.8956317,144.7443843,2017-07-27
