,system_id,system_name,date_stamp,energy_prod(KWh),energy_life(MWh),C02 (Kg),KWp,performance,lat,lon,date_installed
0,1363491,Manor Lakes Sports Pavilion,2018-08-02,36.4,6.6,33.46,10.8,3.4,-37.874294,144.6022525,2018-01-22
0,1363491,Manor Lakes Sports Pavilion,2018-08-01,32.7,6.5,30.12,10.8,3.0,-37.874294,144.6022525,2018-01-22
0,1363491,Manor Lakes Sports Pavilion,2018-08-03,17.8,6.6,16.36,10.8,1.7000000000000002,-37.874294,144.6022525,2018-01-22
0,1363491,Manor Lakes Sports Pavilion,2018-08-06,27.5,6.7,25.31,10.8,2.6,-37.874294,144.6022525,2018-01-22
0,1363491,Manor Lakes Sports Pavilion,2018-08-04,17.2,6.6,15.79,10.8,1.6,-37.874294,144.6022525,2018-01-22
0,1363491,Manor Lakes Sports Pavilion,2018-08-05,38.3,6.6,35.22,10.8,3.5,-37.874294,144.6022525,2018-01-22
0,1363491,Manor Lakes Sports Pavilion,2018-08-10,39.7,6.8,36.5,10.8,3.7,-37.874294,144.6022525,2018-01-22
0,1363491,Manor Lakes Sports Pavilion,2018-08-07,30.9,6.7,28.42,10.8,2.9,-37.874294,144.6022525,2018-01-22
0,1363491,Manor Lakes Sports Pavilion,2018-08-08,24.1,6.7,22.13,10.8,2.2,-37.874294,144.6022525,2018-01-22
0,1363491,Manor Lakes Sports Pavilion,2018-08-12,31.2,6.9,28.72,10.8,2.9,-37.874294,144.6022525,2018-01-22
0,1363491,Manor Lakes Sports Pavilion,2019-09-26,52.6,23.1,48.35,10.8,4.9,-37.874294,144.6022525,2018-01-22
0,1363491,Manor Lakes Sports Pavilion,2019-09-27,26.7,23.2,24.59,10.8,2.5,-37.874294,144.6022525,2018-01-22
0,1363491,Manor Lakes Sports Pavilion,2019-09-28,44.8,23.2,41.23,10.8,4.2,-37.874294,144.6022525,2018-01-22
0,1363491,Manor Lakes Sports Pavilion,2019-09-29,31.5,23.2,28.97,10.8,2.9,-37.874294,144.6022525,2018-01-22
0,1363491,Manor Lakes Sports Pavilion,2019-10-01,61.3,23.3,56.42,10.8,5.7,-37.874294,144.6022525,2018-01-22
0,1363491,Manor Lakes Sports Pavilion,2019-09-30,30.8,23.3,28.34,10.8,2.9,-37.874294,144.6022525,2018-01-22
0,1363491,Manor Lakes Sports Pavilion,2019-10-02,50.5,23.4,46.44,10.8,4.7,-37.874294,144.6022525,2018-01-22
0,1363491,Manor Lakes Sports Pavilion,2019-10-06,40.5,23.5,37.26,10.8,3.8,-37.874294,144.6022525,2018-01-22
0,1363491,Manor Lakes Sports Pavilion,2019-10-03,59.5,23.4,54.74,10.8,5.5,-37.874294,144.6022525,2018-01-22
0,1363491,Manor Lakes Sports Pavilion,2018-08-09,24.2,6.8,22.27,10.8,2.2,-37.874294,144.6022525,2018-01-22
0,1363491,Manor Lakes Sports Pavilion,2018-08-11,24,6.8,22.1,10.8,2.2,-37.874294,144.6022525,2018-01-22
0,1363491,Manor Lakes Sports Pavilion,2018-08-13,21.1,6.9,19.41,10.8,2,-37.874294,144.6022525,2018-01-22
