,system_id,system_name,date_stamp,energy_prod(KWh),energy_life(MWh),C02 (Kg),KWp,performance,lat,lon,date_installed
0,814693016,Quantin Binnah Community Centre,2018-08-02,213.7,,196.63,69.9,3.1,-37.8774751,144.656229,2017-09-14
0,539285,Quantin Binnah Community Centre,2018-08-02,213.7,72.1,196.63,69.9,3.1,-37.877482,144.6578885,2017-09-14
0,814693016,Quantin Binnah Community Centre,2018-08-01,198.4,,182.53,69.9,2.8,-37.8774751,144.656229,2017-09-14
0,539285,Quantin Binnah Community Centre,2018-08-01,198.4,72.1,182.53,69.9,2.8,-37.877482,144.6578885,2017-09-14
0,814693016,Quantin Binnah Community Centre,2018-08-03,107.6,,98.97,69.9,1.5,-37.8774751,144.656229,2017-09-14
0,539285,Quantin Binnah Community Centre,2018-08-03,107.6,72.1,98.97,69.9,1.5,-37.877482,144.6578885,2017-09-14
0,814693016,Quantin Binnah Community Centre,2018-08-06,165.5,,152.24,69.9,2.4,-37.8774751,144.656229,2017-09-14
0,539285,Quantin Binnah Community Centre,2018-08-06,165.5,72.1,152.24,69.9,2.4,-37.877482,144.6578885,2017-09-14
0,814693016,Quantin Binnah Community Centre,2018-08-04,113.8,,104.72,69.9,1.6,-37.8774751,144.656229,2017-09-14
0,539285,Quantin Binnah Community Centre,2018-08-04,113.8,72.1,104.72,69.9,1.6,-37.877482,144.6578885,2017-09-14
0,814693016,Quantin Binnah Community Centre,2018-08-05,213.7,,196.56,69.9,3.1,-37.8774751,144.656229,2017-09-14
0,539285,Quantin Binnah Community Centre,2018-08-05,213.7,72.1,196.56,69.9,3.1,-37.877482,144.6578885,2017-09-14
0,814693016,Quantin Binnah Community Centre,2018-08-07,185.8,,170.98,69.9,2.7,-37.8774751,144.656229,2017-09-14
0,814693016,Quantin Binnah Community Centre,2018-08-10,227.8,,209.55,69.9,3.3,-37.8774751,144.656229,2017-09-14
0,539285,Quantin Binnah Community Centre,2018-08-10,227.8,72.1,209.56,69.9,3.3,-37.877482,144.6578885,2017-09-14
0,539285,Quantin Binnah Community Centre,2018-08-07,185.9,72.1,170.98,69.9,2.7,-37.877482,144.6578885,2017-09-14
0,814693016,Quantin Binnah Community Centre,2018-08-08,139.9,,128.69,69.9,2.0,-37.8774751,144.656229,2017-09-14
0,539285,Quantin Binnah Community Centre,2018-08-08,139.9,72.1,128.69,69.9,2.0,-37.877482,144.6578885,2017-09-14
0,814693016,Quantin Binnah Community Centre,2018-08-12,193.0,,177.55,69.9,2.8,-37.8774751,144.656229,2017-09-14
0,539285,Quantin Binnah Community Centre,2018-08-12,193.0,72.1,177.54,69.9,2.8,-37.877482,144.6578885,2017-09-14
0,814693016,Quantin Binnah Community Centre,2018-08-13,142.4,,130.99,69.9,2.0,-37.8774751,144.656229,2017-09-14
0,539285,Quantin Binnah Community Centre,2019-09-26,,166.4,0.92,69.9,,-37.877482,144.6578885,2017-09-14
0,539285,Quantin Binnah Community Centre,2019-09-27,,166.4,0.92,69.9,,-37.877482,144.6578885,2017-09-14
0,539285,Quantin Binnah Community Centre,2019-09-28,,166.4,0.92,69.9,,-37.877482,144.6578885,2017-09-14
0,539285,Quantin Binnah Community Centre,2019-09-29,,166.4,0.92,69.9,,-37.877482,144.6578885,2017-09-14
0,539285,Quantin Binnah Community Centre,2019-10-01,,166.4,0.92,69.9,,-37.877482,144.6578885,2017-09-14
0,539285,Quantin Binnah Community Centre,2019-09-30,,166.4,0.92,69.9,,-37.877482,144.6578885,2017-09-14
0,539285,Quantin Binnah Community Centre,2019-10-02,,166.4,0.92,69.9,,-37.877482,144.6578885,2017-09-14
0,539285,Quantin Binnah Community Centre,2019-10-06,,166.4,0.92,69.9,,-37.877482,144.6578885,2017-09-14
0,539285,Quantin Binnah Community Centre,2019-10-03,,166.4,0.92,69.9,,-37.877482,144.6578885,2017-09-14
0,814693016,Quantin Binnah Community Centre,2018-08-09,151.2,,139.15,69.9,2.2,-37.8774751,144.656229,2017-09-14
0,539285,Quantin Binnah Community Centre,2018-08-09,151.3,72.1,139.15,69.9,2.2,-37.877482,144.6578885,2017-09-14
0,814693016,Quantin Binnah Community Centre,2018-08-11,134.2,,123.46,69.9,1.9,-37.8774751,144.656229,2017-09-14
0,539285,Quantin Binnah Community Centre,2018-08-11,134.2,72.1,123.46,69.9,1.9,-37.877482,144.6578885,2017-09-14
0,814693016,Quantin Binnah Community Centre,2018-08-19,169.1,,155.58,69.9,2.4,-37.8774751,144.656229,2017-09-14
0,539285,Quantin Binnah Community Centre,2018-08-13,142.4,72.1,130.99,69.9,2,-37.877482,144.6578885,2017-09-14
0,814693016,Quantin Binnah Community Centre,2018-08-14,236.4,,217.46,69.9,3.4,-37.8774751,144.656229,2017-09-14
0,539285,Quantin Binnah Community Centre,2018-08-14,236.4,72.1,217.47,69.9,3.4,-37.877482,144.6578885,2017-09-14
0,814693016,Quantin Binnah Community Centre,2018-08-15,217.9,,200.47,69.9,3.1,-37.8774751,144.656229,2017-09-14
0,539285,Quantin Binnah Community Centre,2018-08-15,217.9,72.1,200.47,69.9,3.1,-37.877482,144.6578885,2017-09-14
0,814693016,Quantin Binnah Community Centre,2018-08-16,199.5,,183.56,69.9,2.9,-37.8774751,144.656229,2017-09-14
0,539285,Quantin Binnah Community Centre,2018-08-16,199.5,72.1,183.56,69.9,2.9,-37.877482,144.6578885,2017-09-14
0,814693016,Quantin Binnah Community Centre,2018-08-18,183.4,,168.75,69.9,2.6,-37.8774751,144.656229,2017-09-14
0,814693016,Quantin Binnah Community Centre,2018-08-17,247.3,,227.54,69.9,3.5,-37.8774751,144.656229,2017-09-14
0,539285,Quantin Binnah Community Centre,2018-08-17,247.3,72.1,227.53,69.9,3.5,-37.877482,144.6578885,2017-09-14
0,539285,Quantin Binnah Community Centre,2018-08-18,183.4,72.1,168.76,69.9,2.6,-37.877482,144.6578885,2017-09-14
0,539285,Quantin Binnah Community Centre,2018-08-19,169.1,72.1,155.58,69.9,2.4,-37.877482,144.6578885,2017-09-14
0,814693016,Quantin Binnah Community Centre,2018-08-21,143.6,,132.14,69.9,2.1,-37.8774751,144.656229,2017-09-14
0,814693016,Quantin Binnah Community Centre,2018-08-20,112.8,,103.78,69.9,1.6,-37.8774751,144.656229,2017-09-14
0,539285,Quantin Binnah Community Centre,2018-08-20,112.8,72.1,103.78,69.9,1.6,-37.877482,144.6578885,2017-09-14
0,539285,Quantin Binnah Community Centre,2018-08-21,143.6,72.1,132.14,69.9,2.1,-37.877482,144.6578885,2017-09-14
0,814693016,Quantin Binnah Community Centre,2018-08-24,265.2,,243.97,69.9,3.8,-37.8774751,144.656229,2017-09-14
0,539285,Quantin Binnah Community Centre,2018-08-24,265.2,72.6,243.97,69.9,3.8,-37.877482,144.6578885,2017-09-14
0,814693016,Quantin Binnah Community Centre,2018-08-22,170.3,,156.66,69.9,2.4,-37.8774751,144.656229,2017-09-14
0,539285,Quantin Binnah Community Centre,2018-08-22,170.3,72.1,156.66,69.9,2.4,-37.877482,144.6578885,2017-09-14
0,814693016,Quantin Binnah Community Centre,2018-08-23,255.2,,234.76,69.9,3.7,-37.8774751,144.656229,2017-09-14
0,539285,Quantin Binnah Community Centre,2018-08-23,255.2,72.3,234.77,69.9,3.7,-37.877482,144.6578885,2017-09-14
0,814693016,Quantin Binnah Community Centre,2018-08-25,268.2,,246.73,69.9,3.8,-37.8774751,144.656229,2017-09-14
0,539285,Quantin Binnah Community Centre,2018-08-25,268.2,72.9,246.73,69.9,3.8,-37.877482,144.6578885,2017-09-14
0,814693016,Quantin Binnah Community Centre,2018-08-26,248.8,,228.92,69.9,3.6,-37.8774751,144.656229,2017-09-14
0,539285,Quantin Binnah Community Centre,2018-08-26,248.8,73.1,228.91,69.9,3.6,-37.877482,144.6578885,2017-09-14
0,814693016,Quantin Binnah Community Centre,2018-08-27,251.2,,231.09,69.9,3.6,-37.8774751,144.656229,2017-09-14
0,539285,Quantin Binnah Community Centre,2018-08-27,251.2,73.4,231.09,69.9,3.6,-37.877482,144.6578885,2017-09-14
0,814693016,Quantin Binnah Community Centre,2018-08-28,251.2,,231.06,69.9,3.6,-37.8774751,144.656229,2017-09-14
0,539285,Quantin Binnah Community Centre,2018-08-28,251.2,73.6,231.06,69.9,3.6,-37.877482,144.6578885,2017-09-14
0,814693016,Quantin Binnah Community Centre,2018-08-29,284.7,,261.9,69.9,4.1,-37.8774751,144.656229,2017-09-14
0,539285,Quantin Binnah Community Centre,2018-08-29,282.6,73.9,260.0,69.9,4,-37.877482,144.6578885,2017-09-14
0,814693016,Quantin Binnah Community Centre,2018-08-30,51.4,,47.25,69.9,0.7000000000000001,-37.8774751,144.656229,2017-09-14
0,539285,Quantin Binnah Community Centre,2018-08-30,51.4,74.0,47.24,69.9,0.7000000000000001,-37.877482,144.6578885,2017-09-14
0,814693016,Quantin Binnah Community Centre,2018-08-31,94.1,,86.55,69.9,1.4,-37.8774751,144.656229,2017-09-14
0,539285,Quantin Binnah Community Centre,2018-08-31,94.1,74.1,86.55,69.9,1.4,-37.877482,144.6578885,2017-09-14
0,814693016,Quantin Binnah Community Centre,2018-09-01,155,,142.57,69.9,2.2,-37.8774751,144.656229,2017-09-14
0,539285,Quantin Binnah Community Centre,2018-09-01,155,74.2,142.57,69.9,2.2,-37.877482,144.6578885,2017-09-14
0,814693016,Quantin Binnah Community Centre,2018-09-02,217.2,,199.81,69.9,3.1,-37.8774751,144.656229,2017-09-14
0,539285,Quantin Binnah Community Centre,2018-09-02,217.2,74.4,199.81,69.9,3.1,-37.877482,144.6578885,2017-09-14
