,system_id,system_name,date_stamp,energy_prod(KWh),energy_life(MWh),C02 (Kg),KWp,performance,lat,lon,date_installed
0,9386988,Saltwater Reserve - Soccer,2018-08-02,65.0,,59.81,16.0,4.1,-37.907358,144.7558417,2017-09-18
0,9386988,Saltwater Reserve - Soccer,2018-08-03,28.9,,26.62,16.0,1.8,-37.907358,144.7558417,2017-09-18
0,9386988,Saltwater Reserve - Soccer,2018-08-01,49.5,,45.54,16.0,3.1,-37.907358,144.7558417,2017-09-18
0,9386988,Saltwater Reserve - Soccer,2018-08-06,42.2,,38.79,16.0,2.6,-37.907358,144.7558417,2017-09-18
0,9386988,Saltwater Reserve - Soccer,2018-08-04,34.1,,31.35,16.0,2.1,-37.907358,144.7558417,2017-09-18
0,9386988,Saltwater Reserve - Soccer,2018-08-07,48.4,,44.51,16.0,3.0,-37.907358,144.7558417,2017-09-18
0,9386988,Saltwater Reserve - Soccer,2018-08-05,63.6,,58.55,16.0,4.0,-37.907358,144.7558417,2017-09-18
0,9386988,Saltwater Reserve - Soccer,2018-08-10,63.9,,58.77,16.0,4.0,-37.907358,144.7558417,2017-09-18
0,9386988,Saltwater Reserve - Soccer,2018-08-13,34.4,,31.65,16.0,2.2,-37.907358,144.7558417,2017-09-18
0,9386988,Saltwater Reserve - Soccer,2018-08-08,41.0,,37.73,16.0,2.6,-37.907358,144.7558417,2017-09-18
0,9386988,Saltwater Reserve - Soccer,2018-08-12,56.5,,51.97,16.0,3.5,-37.907358,144.7558417,2017-09-18
0,9386988,Saltwater Reserve - Soccer,2019-09-26,89.3,,82.12,16.0,5.6,-37.907358,144.7558417,2017-09-18
0,9386988,Saltwater Reserve - Soccer,2019-09-30,70.8,,65.12,16.0,4.4,-37.907358,144.7558417,2017-09-18
0,9386988,Saltwater Reserve - Soccer,2019-09-27,34.6,,31.83,16.0,2.2,-37.907358,144.7558417,2017-09-18
0,9386988,Saltwater Reserve - Soccer,2019-09-28,64.8,,59.64,16.0,4.1,-37.907358,144.7558417,2017-09-18
0,9386988,Saltwater Reserve - Soccer,2019-09-29,66,,60.69,16.0,4.1,-37.907358,144.7558417,2017-09-18
0,9386988,Saltwater Reserve - Soccer,2019-10-01,102.9,,94.68,16.0,6.5,-37.907358,144.7558417,2017-09-18
0,9386988,Saltwater Reserve - Soccer,2019-10-06,62.6,,57.63,16.0,3.9,-37.907358,144.7558417,2017-09-18
0,9386988,Saltwater Reserve - Soccer,2019-10-02,80.1,,73.66,16.0,5,-37.907358,144.7558417,2017-09-18
0,9386988,Saltwater Reserve - Soccer,2019-10-03,98.4,,90.49,16.0,6.2,-37.907358,144.7558417,2017-09-18
0,9386988,Saltwater Reserve - Soccer,2019-10-04,37.2,,34.26,16.0,2.3,-37.907358,144.7558417,2017-09-18
0,9386988,Saltwater Reserve - Soccer,2018-08-09,36.7,,33.74,16.0,2.3,-37.907358,144.7558417,2017-09-18
