,system_id,system_name,date_stamp,energy_prod(KWh),energy_life(MWh),C02 (Kg),KWp,performance,lat,lon,date_installed
0,546277845,Saltwater Reserve - Tennis,2018-08-02,0.0,,0.0,7.2,0.0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2018-08-03,0.0,,0.0,7.2,0.0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2018-08-01,2.1,,1.8900000000000001,7.2,0.30000000000000004,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2018-08-06,0.0,,0.0,7.2,0.0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2018-08-04,0.0,,0.0,7.2,0.0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2018-08-07,0.0,,0.0,7.2,0.0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2018-08-05,0.0,,0.0,7.2,0.0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2018-08-10,0.0,,0.0,7.2,0.0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2018-08-13,0.0,,0.0,7.2,0.0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2018-08-08,0.0,,0.0,7.2,0.0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2018-08-12,0.0,,0.0,7.2,0.0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2019-09-26,34.0,,31.26,7.2,4.8,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2019-09-30,30.3,,27.86,7.2,4.2,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2019-09-27,15.8,,14.53,7.2,2.2,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2019-09-28,26.9,,24.76,7.2,3.8,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2019-09-29,25.9,,23.86,7.2,3.6,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2019-10-01,39.9,,36.73,7.2,5.6,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2019-10-06,25.4,,23.32,7.2,3.6,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2019-10-02,32.3,,29.74,7.2,4.5,-37.907933,144.7509503,2017-07-27
