,system_id,system_name,date_stamp,energy_prod(KWh),energy_life(MWh),C02 (Kg),KWp,performance,lat,lon,date_installed
0,510010,Wyndham CC Iramoo,2018-08-02,112.0,46.2,103.01,35.2,3.2,-37.898376999999996,144.6244455,2017-07-26
0,510010,Wyndham CC Iramoo,2018-08-01,97.7,46.2,89.84,35.2,2.8,-37.898376999999996,144.6244455,2017-07-26
0,510010,Wyndham CC Iramoo,2018-08-03,55.1,46.2,50.69,35.2,1.6,-37.898376999999996,144.6244455,2017-07-26
0,510010,Wyndham CC Iramoo,2018-08-06,85.7,46.2,78.83,35.2,2.4,-37.898376999999996,144.6244455,2017-07-26
0,510010,Wyndham CC Iramoo,2018-08-04,51.5,46.2,47.33,35.2,1.5,-37.898376999999996,144.6244455,2017-07-26
0,510010,Wyndham CC Iramoo,2018-08-05,116.6,46.2,107.31,35.2,3.3,-37.898376999999996,144.6244455,2017-07-26
0,510010,Wyndham CC Iramoo,2018-08-10,120.4,46.2,110.79,35.2,3.4,-37.898376999999996,144.6244455,2017-07-26
0,510010,Wyndham CC Iramoo,2018-08-07,96.0,46.2,88.36,35.2,2.7,-37.898376999999996,144.6244455,2017-07-26
0,510010,Wyndham CC Iramoo,2018-08-08,77.1,46.2,70.89,35.2,2.2,-37.898376999999996,144.6244455,2017-07-26
0,510010,Wyndham CC Iramoo,2018-08-12,95.1,46.2,87.5,35.2,2.7,-37.898376999999996,144.6244455,2017-07-26
0,510010,Wyndham CC Iramoo,2019-09-26,165.4,95.5,152.13,35.2,4.7,-37.898376999999996,144.6244455,2017-07-26
0,510010,Wyndham CC Iramoo,2019-09-27,72.3,95.6,66.52,35.2,2.1,-37.898376999999996,144.6244455,2017-07-26
0,510010,Wyndham CC Iramoo,2019-09-28,118.6,95.7,109.1,35.2,3.4,-37.898376999999996,144.6244455,2017-07-26
0,510010,Wyndham CC Iramoo,2019-09-29,90.4,95.8,83.18,35.2,2.6,-37.898376999999996,144.6244455,2017-07-26
0,510010,Wyndham CC Iramoo,2019-10-01,188.4,96.0,173.36,35.2,5.4,-37.898376999999996,144.6244455,2017-07-26
0,510010,Wyndham CC Iramoo,2019-09-30,95.5,95.9,87.89,35.2,2.7,-37.898376999999996,144.6244455,2017-07-26
0,510010,Wyndham CC Iramoo,2019-10-02,152.6,96.2,140.37,35.2,4.3,-37.898376999999996,144.6244455,2017-07-26
