,system_id,system_name,date_stamp,energy_prod(KWh),energy_life(MWh),C02 (Kg),KWp,performance,lat,lon,date_installed
0,1351365772,Tarneit Community Learning Centre,2018-08-02,169.4,,155.86,45.4,3.7,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-08-01,142.7,,131.3,45.4,3.1,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-08-03,74.3,,68.33,45.4,1.6,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-08-06,124.6,,114.63,45.4,2.7,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-08-04,89.0,,81.9,45.4,2.0,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-08-07,141.3,,129.96,45.4,3.1,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-08-05,141.3,,130.01,45.4,3.1,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-08-10,172.5,,158.72,45.4,3.8,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-08-13,87.6,,80.6,45.4,1.9,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-08-08,93.1,,85.67,45.4,2.1,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-08-12,150.5,,138.45,45.4,3.3,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2019-09-26,80.9,,74.45,45.4,1.8,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2019-09-30,138.4,,127.35,45.4,3.1,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2019-09-27,86.3,,79.38,45.4,1.9,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2019-09-28,60.4,,55.59,45.4,1.3,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2019-09-29,105.1,,96.71,45.4,2.3,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2019-10-01,86.4,,79.48,45.4,1.9,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2019-10-06,95.7,,88.04,45.4,2.1,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2019-10-02,131.1,,120.6,45.4,2.9,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2019-10-03,90.2,,82.95,45.4,2,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2019-10-04,89.5,,82.31,45.4,2,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-08-09,102.9,,94.66,45.4,2.3,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-08-19,129.9,,119.54,45.4,2.9,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-08-11,102.1,,93.9,45.4,2.3,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-08-14,123.5,,113.58,45.4,2.7,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-08-15,122.7,,112.87,45.4,2.7,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-08-16,138.3,,127.19,45.4,3,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-08-18,151.1,,139.04,45.4,3.3,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-08-17,150.4,,138.38,45.4,3.3,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-08-21,97.9,,90.07,45.4,2.2,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-08-20,69,,63.49,45.4,1.5,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-08-24,137.6,,126.63,45.4,3,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-08-25,116.6,,107.31,45.4,2.6,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-08-22,90.6,,83.35,45.4,2,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-08-23,133.5,,122.83,45.4,2.9,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-08-26,168.6,,155.09,45.4,3.7,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-08-27,196.7,,181.0,45.4,4.3,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-08-28,187.4,,172.38,45.4,4.1,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-08-29,211.1,,194.2,45.4,4.7,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-08-30,29.9,,27.49,45.4,0.7000000000000001,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-08-31,64.4,,59.22,45.4,1.4,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-09-01,104.3,,95.96,45.4,2.3,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-09-02,167.6,,154.21,45.4,3.7,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-09-03,166.1,,152.82,45.4,3.7,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-09-04,165.9,,152.62,45.4,3.7,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-09-09,88.6,,81.49,45.4,2,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-09-05,160.8,,147.95,45.4,3.5,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-09-06,114.8,,105.66,45.4,2.5,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-09-07,146,,134.28,45.4,3.2,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-09-08,183.1,,168.47,45.4,4,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-09-10,68.6,,63.11,45.4,1.5,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-09-11,162.7,,149.68,45.4,3.6,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-09-12,147.3,,135.55,45.4,3.2,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-09-13,119.5,,109.96,45.4,2.6,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-09-14,92.3,,84.92,45.4,2,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-09-15,124.3,,114.37,45.4,2.7,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-09-16,139.5,,128.32,45.4,3.1,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-09-17,162.1,,149.16,45.4,3.6,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-09-18,109.7,,100.95,45.4,2.4,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-09-19,197.7,,181.87,45.4,4.4,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-09-20,121.2,,111.52,45.4,2.7,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-09-25,109.6,,100.84,45.4,2.4,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-09-26,110.2,,101.4,45.4,2.4,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-09-27,141.4,,130.12,45.4,3.1,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-10-19,242.7,,223.28,45.4,5.3,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-10-20,58,,53.35,45.4,1.3,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-10-21,100,,91.99,45.4,2.2,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-10-24,147.7,,135.9,45.4,3.3,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-10-22,136.3,,125.43,45.4,3,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-10-23,84.1,,77.38,45.4,1.9,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-10-26,122.6,,112.79,45.4,2.7,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-12-17,70.3,,64.69,45.4,1.6,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-12-26,118.7,,109.19,45.4,2.6,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-09-28,114.8,,105.61,45.4,2.5,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-09-29,89.9,,82.72,45.4,2,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-09-30,99.3,,91.32,45.4,2.2,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-10-01,218,,200.55,45.4,4.8,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-10-03,64,,58.88,45.4,1.4,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-10-05,146.2,,134.5,45.4,3.2,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-10-02,123.8,,113.93,45.4,2.7,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-10-04,118.5,,108.99,45.4,2.6,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-10-06,64.3,,59.18,45.4,1.4,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-10-07,86.4,,79.52,45.4,1.9,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-10-08,106,,97.56,45.4,2.3,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-10-11,85.1,,78.27,45.4,1.9,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-10-09,55,,50.55,45.4,1.2,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-10-10,196.3,,180.63,45.4,4.3,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-10-12,139.8,,128.6,45.4,3.1,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-10-13,51.3,,47.22,45.4,1.1,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-10-14,42.2,,38.82,45.4,0.9,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-10-15,111.2,,102.32,45.4,2.5,-37.8356421,144.6941024,2018-05-13
0,1351365772,Tarneit Community Learning Centre,2018-10-16,39.4,,36.23,45.4,0.9,-37.8356421,144.6941024,2018-05-13
