,system_id,system_name,date_stamp,energy_prod(KWh),energy_life(MWh),C02 (Kg),KWp,performance,lat,lon,date_installed
0,1888236622,The Grange Community Centre,2018-08-02,124.2,,114.26,26.2,4.7,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-08-01,105.7,,97.2,26.2,4.0,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-08-03,51.6,,47.51,26.2,2.0,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-08-06,85.0,,78.19,26.2,3.2,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-08-04,61.0,,56.08,26.2,2.3,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-08-07,90.0,,82.76,26.2,3.4,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-08-05,125.4,,115.35,26.2,4.8,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-08-10,129.8,,119.38,26.2,4.9,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-08-08,65.0,,59.78,26.2,2.5,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-08-12,103.4,,95.13,26.2,3.9,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-08-13,66.5,,61.22,26.2,2.5,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2019-09-26,149.2,,137.24,26.2,5.7,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2019-09-27,54.5,,50.11,26.2,2.1,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2019-09-28,92.9,,85.49,26.2,3.5,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2019-09-29,76.9,,70.73,26.2,2.9,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2019-10-01,172.5,,158.7,26.2,6.6,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2019-09-30,92.3,,84.9,26.2,3.5,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2019-10-06,100.1,,92.13,26.2,3.8,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2019-10-02,138.5,,127.39,26.2,5.3,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2019-10-03,166.7,,153.4,26.2,6.4,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2019-10-04,62.4,,57.39,26.2,2.4,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-08-09,72.8,,67.01,26.2,2.8,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-08-19,78,,71.76,26.2,3,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-08-11,60.3,,55.51,26.2,2.3,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-08-14,135.2,,124.4,26.2,5.2,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-08-15,106.8,,98.29,26.2,4.1,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-08-16,95.6,,87.92,26.2,3.6,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-08-18,94,,86.52,26.2,3.6,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-08-17,134.8,,124.06,26.2,5.1,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-08-21,64.2,,59.02,26.2,2.4,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-08-20,43.2,,39.75,26.2,1.7000000000000002,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-08-24,144.3,,132.77,26.2,5.5,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-08-25,144,,132.5,26.2,5.5,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-08-22,76.5,,70.42,26.2,2.9,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-08-23,139.4,,128.2,26.2,5.3,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-08-26,134.6,,123.82,26.2,5.1,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-08-27,134.5,,123.7,26.2,5.1,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-08-28,124.8,,114.79,26.2,4.8,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-08-29,153.2,,140.99,26.2,5.8,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-08-30,18.8,,17.32,26.2,0.7000000000000001,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-08-31,36.3,,33.37,26.2,1.4,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-09-01,63,,58.0,26.2,2.4,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-09-02,107.2,,98.59,26.2,4.1,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-09-03,113.8,,104.7,26.2,4.3,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-09-04,148.2,,136.35,26.2,5.7,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-09-09,61.5,,56.62,26.2,2.4,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-09-05,130.7,,120.26,26.2,5,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-09-06,105.3,,96.9,26.2,4,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-09-07,103.7,,95.36,26.2,4,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-09-08,146.8,,135.02,26.2,5.6,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-09-10,67.9,,62.47,26.2,2.6,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-09-11,156.4,,143.87,26.2,6,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-09-12,133.1,,122.48,26.2,5.1,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-09-13,158.6,,145.92,26.2,6,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-09-14,157.6,,145.0,26.2,6,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-09-15,82.2,,75.64,26.2,3.1,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-09-16,126.3,,116.19,26.2,4.8,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-09-17,158.6,,145.87,26.2,6,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-09-18,77.6,,71.39,26.2,3,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-09-19,148.3,,136.42,26.2,5.7,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-09-20,129.3,,118.97,26.2,4.9,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-09-25,102.6,,94.43,26.2,3.9,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-09-26,176,,161.93,26.2,6.7,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-09-27,169.4,,155.88,26.2,6.5,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-10-19,151.8,,139.63,26.2,5.8,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-10-20,74.6,,68.64,26.2,2.8,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-10-21,125.8,,115.76,26.2,4.8,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-10-24,133.4,,122.77,26.2,5.1,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-10-22,176.6,,162.45,26.2,6.7,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-10-23,89.1,,82.01,26.2,3.4,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-10-26,107.7,,99.04,26.2,4.1,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-12-17,125.2,,115.19,26.2,4.8,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-12-26,189,,173.84,26.2,7.2,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-09-28,85.1,,78.33,26.2,3.2,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-09-29,101.6,,93.49,26.2,3.9,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-09-30,139.5,,128.34,26.2,5.3,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-10-01,172,,158.22,26.2,6.6,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-10-03,42.9,,39.49,26.2,1.6,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-10-02,109.7,,100.9,26.2,4.2,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-10-04,76.5,,70.42,26.2,2.9,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-10-05,181.5,,166.99,26.2,6.9,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-10-06,172.8,,158.97,26.2,6.6,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-10-07,125.3,,115.3,26.2,4.8,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-10-08,141.9,,130.54,26.2,5.4,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-10-11,182.9,,168.24,26.2,7,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-10-09,34.6,,31.84,26.2,1.3,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-10-10,157.5,,144.94,26.2,6,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-10-12,180.6,,166.12,26.2,6.9,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-10-13,178,,163.75,26.2,6.8,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-10-14,148.1,,136.27,26.2,5.6,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-10-15,122.4,,112.58,26.2,4.7,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-10-16,24.3,,22.39,26.2,0.9,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-10-18,76.3,,70.23,26.2,2.9,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-10-17,114.8,,105.64,26.2,4.4,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-10-25,171.6,,157.87,26.2,6.5,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-10-29,159,,146.3,26.2,6.1,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-10-27,109.4,,100.65,26.2,4.2,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-10-28,149.2,,137.3,26.2,5.7,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-10-30,168.5,,155.06,26.2,6.4,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-11-07,137.2,,126.26,26.2,5.2,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-10-31,92.2,,84.85,26.2,3.5,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-11-01,87.5,,80.53,26.2,3.3,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-11-04,134.5,,123.79,26.2,5.1,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-11-02,92.5,,85.11,26.2,3.5,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-11-03,117.3,,107.94,26.2,4.5,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-11-05,89.1,,82.01,26.2,3.4,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-11-06,60.3,,55.52,26.2,2.3,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-11-08,131.4,,120.93,26.2,5,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-12-16,95.6,,87.93,26.2,3.6,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-12-25,181,,166.55,26.2,6.9,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2019-03-16,71.4,,65.69,26.2,2.7,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2019-03-17,71.8,,66.05,26.2,2.7,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2019-03-19,29.2,,26.9,26.2,1.1,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2019-03-18,69,,63.47,26.2,2.6,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2019-03-20,24.2,,22.25,26.2,0.9,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2019-03-21,34.9,,32.11,26.2,1.3,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2019-04-13,31.5,,28.98,26.2,1.2,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-11-21,143.4,,131.96,26.2,5.5,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2019-04-14,63.3,,58.24,26.2,2.4,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2019-04-16,62.7,,57.68,26.2,2.4,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2019-04-17,43.5,,40.02,26.2,1.7000000000000002,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2019-04-18,52.2,,48.04,26.2,2,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2019-04-29,50.6,,46.59,26.2,1.9,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2019-05-12,24.7,,22.76,26.2,0.9,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2019-06-28,97.5,,89.71,26.2,3.7,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2019-06-29,12.3,,11.33,26.2,0.5,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2019-06-30,97.3,,89.5,26.2,3.7,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2019-07-03,47,,43.26,26.2,1.8,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-11-22,107.6,,98.96,26.2,4.1,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-11-28,184.9,,170.08,26.2,7.1,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-11-28,184.9,,170.08,26.2,7.1,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-11-28,184.9,,170.08,26.2,7.1,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-11-28,184.9,,170.08,26.2,7.1,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-11-28,184.9,,170.08,26.2,7.1,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-11-30,153.5,,141.19,26.2,5.9,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-11-28,184.9,,170.08,26.2,7.1,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-12-04,139,,127.91,26.2,5.3,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-11-29,126.2,,116.13,26.2,4.8,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-12-01,181,,166.51,26.2,6.9,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-12-02,133.3,,122.61,26.2,5.1,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-12-06,175.5,,161.46,26.2,6.7,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-12-03,91.2,,83.92,26.2,3.5,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-12-05,178.2,,163.9,26.2,6.8,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-12-07,150.3,,138.24,26.2,5.7,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-12-08,71.9,,66.15,26.2,2.7,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-12-09,80.6,,74.15,26.2,3.1,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-12-14,88.3,,81.26,26.2,3.4,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-12-10,163.4,,150.34,26.2,6.2,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-12-11,188.5,,173.44,26.2,7.2,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-12-15,113.1,,104.05,26.2,4.3,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2018-12-25,181,,166.55,26.2,6.9,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2019-01-02,65.1,,59.89,26.2,2.5,-37.8606474,144.6741657,2017-08-10
0,1888236622,The Grange Community Centre,2019-07-01,62,,57.04,26.2,2.4,-37.8606474,144.6741657,2017-08-10
