,system_id,system_name,date_stamp,energy_prod(KWh),energy_life(MWh),C02 (Kg),KWp,performance,lat,lon,date_installed
0,9165429,Werribee Outdoor Pool,2018-08-02,94.8,,87.26,29.8,3.2,-37.9060583,144.6496718,2017-06-20
0,456888,Werribee Outdoor Pool,2018-08-02,94.9,41.7,87.26,29.8,3.2,-37.9064618,144.6513546,2017-04-27
0,9165429,Werribee Outdoor Pool,2018-08-01,90.6,,83.34,29.8,3.0,-37.9060583,144.6496718,2017-06-20
0,456888,Werribee Outdoor Pool,2018-08-01,90.6,41.7,83.34,29.8,3.0,-37.9064618,144.6513546,2017-04-27
0,9165429,Werribee Outdoor Pool,2018-08-03,47.7,,43.9,29.8,1.6,-37.9060583,144.6496718,2017-06-20
0,456888,Werribee Outdoor Pool,2018-08-03,47.7,41.7,43.9,29.8,1.6,-37.9064618,144.6513546,2017-04-27
0,9165429,Werribee Outdoor Pool,2018-08-06,73.7,,67.82,29.8,2.5,-37.9060583,144.6496718,2017-06-20
0,9165429,Werribee Outdoor Pool,2018-08-04,45.8,,42.11,29.8,1.5,-37.9060583,144.6496718,2017-06-20
0,456888,Werribee Outdoor Pool,2018-08-04,45.8,41.7,42.11,29.8,1.5,-37.9064618,144.6513546,2017-04-27
0,9165429,Werribee Outdoor Pool,2018-08-05,98.8,,90.93,29.8,3.3,-37.9060583,144.6496718,2017-06-20
0,456888,Werribee Outdoor Pool,2018-08-05,98.8,41.7,90.92,29.8,3.3,-37.9064618,144.6513546,2017-04-27
0,9165429,Werribee Outdoor Pool,2018-08-07,76.6,,70.48,29.8,2.6,-37.9060583,144.6496718,2017-06-20
0,456888,Werribee Outdoor Pool,2018-08-06,73.7,41.7,67.82,29.8,2.5,-37.9064618,144.6513546,2017-04-27
0,9165429,Werribee Outdoor Pool,2018-08-10,103.7,,95.39,29.8,3.5,-37.9060583,144.6496718,2017-06-20
0,456888,Werribee Outdoor Pool,2018-08-10,103.7,41.7,95.39,29.8,3.5,-37.9064618,144.6513546,2017-04-27
0,456888,Werribee Outdoor Pool,2018-08-07,76.6,41.7,70.48,29.8,2.6,-37.9064618,144.6513546,2017-04-27
0,9165429,Werribee Outdoor Pool,2018-08-08,67.7,,62.27,29.8,2.3,-37.9060583,144.6496718,2017-06-20
0,456888,Werribee Outdoor Pool,2018-08-08,67.7,41.7,62.27,29.8,2.3,-37.9064618,144.6513546,2017-04-27
0,9165429,Werribee Outdoor Pool,2018-08-12,82.7,,76.12,29.8,2.8,-37.9060583,144.6496718,2017-06-20
0,456888,Werribee Outdoor Pool,2018-08-12,82.7,41.7,76.12,29.8,2.8,-37.9064618,144.6513546,2017-04-27
0,9165429,Werribee Outdoor Pool,2018-08-13,56.4,,51.87,29.8,1.9,-37.9060583,144.6496718,2017-06-20
0,456888,Werribee Outdoor Pool,2019-09-25,90.5,84.1,83.21,29.8,3.0,-37.9064618,144.6513546,2017-04-27
0,9165429,Werribee Outdoor Pool,2019-09-26,142.8,,131.42,29.8,4.8,-37.9060583,144.6496718,2017-06-20
0,456888,Werribee Outdoor Pool,2019-09-26,142.9,84.2,131.42,29.8,4.8,-37.9064618,144.6513546,2017-04-27
0,9165429,Werribee Outdoor Pool,2019-09-27,59.8,,54.98,29.8,2,-37.9060583,144.6496718,2017-06-20
0,456888,Werribee Outdoor Pool,2019-09-27,59.8,84.3,54.98,29.8,2,-37.9064618,144.6513546,2017-04-27
0,9165429,Werribee Outdoor Pool,2019-09-28,93.1,,85.66,29.8,3.1,-37.9060583,144.6496718,2017-06-20
0,456888,Werribee Outdoor Pool,2019-09-28,93.1,84.4,85.66,29.8,3.1,-37.9064618,144.6513546,2017-04-27
0,9165429,Werribee Outdoor Pool,2019-09-29,78.2,,71.94,29.8,2.6,-37.9060583,144.6496718,2017-06-20
0,456888,Werribee Outdoor Pool,2019-09-29,78.2,84.5,71.94,29.8,2.6,-37.9064618,144.6513546,2017-04-27
0,9165429,Werribee Outdoor Pool,2019-10-01,163.9,,150.77,29.8,5.5,-37.9060583,144.6496718,2017-06-20
0,456888,Werribee Outdoor Pool,2019-10-01,163.9,84.7,150.77,29.8,5.5,-37.9064618,144.6513546,2017-04-27
0,9165429,Werribee Outdoor Pool,2019-09-30,82.4,,75.81,29.8,2.8,-37.9060583,144.6496718,2017-06-20
0,456888,Werribee Outdoor Pool,2019-09-30,82.4,84.5,75.81,29.8,2.8,-37.9064618,144.6513546,2017-04-27
0,9165429,Werribee Outdoor Pool,2019-10-06,103.2,,94.93,29.8,3.5,-37.9060583,144.6496718,2017-06-20
0,9165429,Werribee Outdoor Pool,2019-10-02,135.2,,124.35,29.8,4.5,-37.9060583,144.6496718,2017-06-20
0,456888,Werribee Outdoor Pool,2019-10-02,135.2,84.8,124.35,29.8,4.5,-37.9064618,144.6513546,2017-04-27
0,456888,Werribee Outdoor Pool,2019-10-06,103.2,85.3,94.93,29.8,3.5,-37.9064618,144.6513546,2017-04-27
0,9165429,Werribee Outdoor Pool,2019-10-03,157.2,,144.6,29.8,5.3,-37.9060583,144.6496718,2017-06-20
0,456888,Werribee Outdoor Pool,2019-10-03,157.2,85.0,144.61,29.8,5.3,-37.9064618,144.6513546,2017-04-27
0,9165429,Werribee Outdoor Pool,2019-10-04,69.6,,64.0,29.8,2.3,-37.9060583,144.6496718,2017-06-20
