,system_id,system_name,date_stamp,energy_prod(KWh),energy_life(MWh),C02 (Kg),KWp,performance,lat,lon,date_installed
0,1345225,Wootten Rd Sports Pavilion,2018-08-02,36.3,8.8,33.41,10.2,3.6,-37.858234,144.658926,2017-12-07
0,1345225,Wootten Rd Sports Pavilion,2018-08-01,29.8,8.8,27.42,10.2,2.9,-37.858234,144.658926,2017-12-07
0,1345225,Wootten Rd Sports Pavilion,2018-08-03,16.7,8.9,15.34,10.2,1.6,-37.858234,144.658926,2017-12-07
0,1345225,Wootten Rd Sports Pavilion,2018-08-06,27.8,8.9,25.57,10.2,2.7,-37.858234,144.658926,2017-12-07
0,1345225,Wootten Rd Sports Pavilion,2018-08-04,19.7,8.9,18.11,10.2,1.9,-37.858234,144.658926,2017-12-07
0,1345225,Wootten Rd Sports Pavilion,2018-08-05,36.1,8.9,33.21,10.2,3.5,-37.858234,144.658926,2017-12-07
0,1345225,Wootten Rd Sports Pavilion,2018-08-10,38.1,9.0,35.04,10.2,3.7,-37.858234,144.658926,2017-12-07
0,1345225,Wootten Rd Sports Pavilion,2018-08-07,29.3,9.0,26.99,10.2,2.9,-37.858234,144.658926,2017-12-07
0,1345225,Wootten Rd Sports Pavilion,2018-08-08,21.1,9.0,19.38,10.2,2.1,-37.858234,144.658926,2017-12-07
0,1345225,Wootten Rd Sports Pavilion,2018-08-12,31.6,9.1,29.11,10.2,3.1,-37.858234,144.658926,2017-12-07
0,1345225,Wootten Rd Sports Pavilion,2019-09-26,51.9,24.4,47.7,10.2,5.1,-37.858234,144.658926,2017-12-07
0,1345225,Wootten Rd Sports Pavilion,2019-09-27,21.2,24.4,19.46,10.2,2.1,-37.858234,144.658926,2017-12-07
0,1345225,Wootten Rd Sports Pavilion,2019-09-28,33.5,24.4,30.8,10.2,3.3,-37.858234,144.658926,2017-12-07
0,1345225,Wootten Rd Sports Pavilion,2019-09-29,28.4,24.5,26.09,10.2,2.8,-37.858234,144.658926,2017-12-07
0,1345225,Wootten Rd Sports Pavilion,2019-10-01,56.4,24.5,51.86,10.2,5.5,-37.858234,144.658926,2017-12-07
0,1345225,Wootten Rd Sports Pavilion,2019-09-30,32.5,24.5,29.89,10.2,3.2,-37.858234,144.658926,2017-12-07
0,1345225,Wootten Rd Sports Pavilion,2019-10-06,35.4,24.7,32.54,10.2,3.5,-37.858234,144.658926,2017-12-07
0,1345225,Wootten Rd Sports Pavilion,2019-10-02,47.3,24.6,43.54,10.2,4.6,-37.858234,144.658926,2017-12-07
0,1345225,Wootten Rd Sports Pavilion,2019-10-03,55.3,24.6,50.84,10.2,5.4,-37.858234,144.658926,2017-12-07
0,1345225,Wootten Rd Sports Pavilion,2018-08-09,23.8,9.0,21.87,10.2,2.3,-37.858234,144.658926,2017-12-07
0,1345225,Wootten Rd Sports Pavilion,2018-08-11,20.1,9.1,18.5,10.2,2,-37.858234,144.658926,2017-12-07
0,1345225,Wootten Rd Sports Pavilion,2018-08-13,23.1,9.1,21.2,10.2,2.3,-37.858234,144.658926,2017-12-07
0,1345225,Wootten Rd Sports Pavilion,2018-08-14,40.3,9.1,37.07,10.2,4,-37.858234,144.658926,2017-12-07
0,1345225,Wootten Rd Sports Pavilion,2018-08-15,32.6,9.2,30.0,10.2,3.2,-37.858234,144.658926,2017-12-07
0,1345225,Wootten Rd Sports Pavilion,2018-08-16,29.7,9.2,27.34,10.2,2.9,-37.858234,144.658926,2017-12-07
0,1345225,Wootten Rd Sports Pavilion,2018-08-17,40,9.3,36.81,10.2,3.9,-37.858234,144.658926,2017-12-07
0,1345225,Wootten Rd Sports Pavilion,2018-08-18,30.2,9.3,27.74,10.2,3,-37.858234,144.658926,2017-12-07
0,1345225,Wootten Rd Sports Pavilion,2018-08-19,26.4,9.3,24.27,10.2,2.6,-37.858234,144.658926,2017-12-07
0,1345225,Wootten Rd Sports Pavilion,2018-08-21,22.2,9.4,20.4,10.2,2.2,-37.858234,144.658926,2017-12-07
0,1345225,Wootten Rd Sports Pavilion,2018-08-20,16,9.3,14.69,10.2,1.6,-37.858234,144.658926,2017-12-07
0,1345225,Wootten Rd Sports Pavilion,2018-08-24,43.3,9.5,39.81,10.2,4.2,-37.858234,144.658926,2017-12-07
0,1345225,Wootten Rd Sports Pavilion,2018-08-22,24.7,9.4,22.73,10.2,2.4,-37.858234,144.658926,2017-12-07
0,1345225,Wootten Rd Sports Pavilion,2018-08-23,42.4,9.4,38.97,10.2,4.2,-37.858234,144.658926,2017-12-07
0,1345225,Wootten Rd Sports Pavilion,2018-08-25,43.5,9.5,40.0,10.2,4.3,-37.858234,144.658926,2017-12-07
0,1345225,Wootten Rd Sports Pavilion,2018-08-26,40.5,9.5,37.25,10.2,4,-37.858234,144.658926,2017-12-07
0,1345225,Wootten Rd Sports Pavilion,2018-08-27,38.1,9.6,35.03,10.2,3.7,-37.858234,144.658926,2017-12-07
0,1345225,Wootten Rd Sports Pavilion,2018-08-28,39.5,9.6,36.33,10.2,3.9,-37.858234,144.658926,2017-12-07
0,1345225,Wootten Rd Sports Pavilion,2018-08-29,46.7,9.7,42.95,10.2,4.6,-37.858234,144.658926,2017-12-07
0,1345225,Wootten Rd Sports Pavilion,2018-08-30,7.2,9.7,6.62,10.2,0.7000000000000001,-37.858234,144.658926,2017-12-07
0,1345225,Wootten Rd Sports Pavilion,2018-08-31,14.2,9.7,13.03,10.2,1.4,-37.858234,144.658926,2017-12-07
