,system_id,system_name,date_stamp,energy_prod(KWh),energy_life(MWh),C02 (Kg),KWp,performance,lat,lon,date_installed
0,541308,Wyndham CC Soccer,2018-08-02,65.0,25.8,59.81,16.0,4.1,-37.907423,144.7569655,2017-08-18
0,541308,Wyndham CC Soccer,2018-08-01,49.5,25.8,45.54,16.0,3.1,-37.907423,144.7569655,2017-08-18
0,541308,Wyndham CC Soccer,2018-08-03,28.9,25.8,26.62,16.0,1.8,-37.907423,144.7569655,2017-08-18
0,541308,Wyndham CC Soccer,2018-08-06,42.2,25.8,38.8,16.0,2.6,-37.907423,144.7569655,2017-08-18
0,541308,Wyndham CC Soccer,2018-08-04,34.1,25.8,31.35,16.0,2.1,-37.907423,144.7569655,2017-08-18
0,541308,Wyndham CC Soccer,2018-08-05,63.6,25.8,58.55,16.0,4.0,-37.907423,144.7569655,2017-08-18
0,541308,Wyndham CC Soccer,2018-08-10,63.9,25.8,58.77,16.0,4.0,-37.907423,144.7569655,2017-08-18
0,541308,Wyndham CC Soccer,2018-08-07,48.4,25.8,44.51,16.0,3.0,-37.907423,144.7569655,2017-08-18
0,541308,Wyndham CC Soccer,2018-08-08,41.0,25.8,37.73,16.0,2.6,-37.907423,144.7569655,2017-08-18
0,541308,Wyndham CC Soccer,2018-08-12,56.5,25.8,51.97,16.0,3.5,-37.907423,144.7569655,2017-08-18
0,541308,Wyndham CC Soccer,2019-09-25,48.1,52.2,44.26,16.0,3.0,-37.907423,144.7569655,2017-08-18
0,541308,Wyndham CC Soccer,2019-09-26,89.3,52.3,82.12,16.0,5.6,-37.907423,144.7569655,2017-08-18
0,541308,Wyndham CC Soccer,2019-09-27,34.6,52.3,31.83,16.0,2.2,-37.907423,144.7569655,2017-08-18
0,541308,Wyndham CC Soccer,2019-09-28,64.8,52.4,59.64,16.0,4.1,-37.907423,144.7569655,2017-08-18
0,541308,Wyndham CC Soccer,2019-09-29,66,52.5,60.69,16.0,4.1,-37.907423,144.7569655,2017-08-18
0,541308,Wyndham CC Soccer,2019-10-01,102.9,52.6,94.69,16.0,6.5,-37.907423,144.7569655,2017-08-18
0,541308,Wyndham CC Soccer,2019-09-30,70.8,52.5,65.13,16.0,4.4,-37.907423,144.7569655,2017-08-18
0,541308,Wyndham CC Soccer,2019-10-02,80.1,52.7,73.66,16.0,5,-37.907423,144.7569655,2017-08-18
0,541308,Wyndham CC Soccer,2019-10-06,62.6,53.0,57.63,16.0,3.9,-37.907423,144.7569655,2017-08-18
0,541308,Wyndham CC Soccer,2019-10-03,98.4,52.8,90.49,16.0,6.2,-37.907423,144.7569655,2017-08-18
0,541308,Wyndham CC Soccer,2018-08-09,36.7,25.8,33.74,16.0,2.3,-37.907423,144.7569655,2017-08-18
0,541308,Wyndham CC Soccer,2018-08-11,37.1,25.8,34.17,16.0,2.3,-37.907423,144.7569655,2017-08-18
