,system_id,system_name,date_stamp,energy_prod(KWh),energy_life(MWh),C02 (Kg),KWp,performance,lat,lon,date_installed
0,1619801197,Wyndham Park Community Centre,2018-08-02,77.1,,70.9,18.3,4.2,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-08-01,65.1,,59.88,18.3,3.6,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-08-03,33.9,,31.2,18.3,1.9,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-08-06,51.7,,47.58,18.3,2.8,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-08-04,36.6,,33.65,18.3,2.0,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-08-05,78.4,,72.1,18.3,4.3,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-08-07,58.3,,53.61,18.3,3.2,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-08-10,81.4,,74.85,18.3,4.5,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-08-08,44.8,,41.25,18.3,2.5,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-08-12,65.5,,60.29,18.3,3.6,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-08-13,41.0,,37.76,18.3,2.2,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2019-09-26,96.4,,88.72,18.3,5.3,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2019-09-27,33.8,,31.14,18.3,1.9,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2019-09-28,58.2,,53.5,18.3,3.2,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2019-09-29,50,,46.03,18.3,2.7,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2019-10-01,111.3,,102.43,18.3,6.1,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2019-09-30,54.9,,50.54,18.3,3,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2019-10-02,94.3,,86.77,18.3,5.2,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2019-10-03,107.1,,98.54,18.3,5.9,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2019-10-04,40.9,,37.63,18.3,2.2,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-08-09,42.5,,39.1,18.3,2.3,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-08-11,39.8,,36.61,18.3,2.2,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-08-19,49.6,,45.65,18.3,2.7,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-08-14,83.2,,76.53,18.3,4.6,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-08-15,77,,70.88,18.3,4.2,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-08-16,60.1,,55.3,18.3,3.3,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-08-18,59.8,,55.04,18.3,3.3,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-08-17,85,,78.19,18.3,4.7,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-08-21,42.6,,39.21,18.3,2.3,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-08-20,28.4,,26.15,18.3,1.6,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-08-24,90.1,,82.89,18.3,4.9,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-08-22,53.7,,49.38,18.3,2.9,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-08-23,87.1,,80.16,18.3,4.8,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-08-25,90.4,,83.16,18.3,4.9,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-08-26,86.4,,79.49,18.3,4.7,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-08-27,86.4,,79.46,18.3,4.7,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-08-28,79.9,,73.51,18.3,4.4,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-08-29,97.3,,89.52,18.3,5.3,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-08-30,11.5,,10.56,18.3,0.6000000000000001,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-08-31,21.3,,19.57,18.3,1.2,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-09-01,43,,39.53,18.3,2.4,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-09-02,75.3,,69.24,18.3,4.1,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-09-03,85.7,,78.86,18.3,4.7,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-09-04,91.8,,84.43,18.3,5,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-09-09,41.2,,37.88,18.3,2.3,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-09-05,86.4,,79.5,18.3,4.7,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-09-06,66.3,,61.03,18.3,3.6,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-09-07,66.6,,61.31,18.3,3.6,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-09-08,93.5,,86.04,18.3,5.1,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-09-10,42.5,,39.13,18.3,2.3,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-09-11,99.5,,91.55,18.3,5.4,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-09-12,91,,83.71,18.3,5,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-09-13,101.1,,93.01,18.3,5.5,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-09-14,102,,93.8,18.3,5.6,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-09-15,55.5,,51.02,18.3,3,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-09-16,90.7,,83.43,18.3,5,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-09-17,105.6,,97.15,18.3,5.8,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-09-18,47.1,,43.34,18.3,2.6,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-09-19,94.9,,87.33,18.3,5.2,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-09-20,80,,73.57,18.3,4.4,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-09-25,70.1,,64.52,18.3,3.8,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-09-26,114.7,,105.51,18.3,6.3,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-09-27,111.2,,102.34,18.3,6.1,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-10-19,105.4,,96.96,18.3,5.8,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-10-20,51.4,,47.32,18.3,2.8,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-10-21,84.3,,77.51,18.3,4.6,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-10-24,84.6,,77.82,18.3,4.6,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-10-22,118.4,,108.92,18.3,6.5,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-10-23,56.1,,51.63,18.3,3.1,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-10-26,75.6,,69.59,18.3,4.1,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-12-17,83.1,,76.45,18.3,4.5,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-09-28,57.8,,53.13,18.3,3.2,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-09-29,68.8,,63.29,18.3,3.8,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-09-30,88.5,,81.39,18.3,4.8,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-10-01,111.5,,102.6,18.3,6.1,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-10-03,29.1,,26.75,18.3,1.6,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-10-02,72.3,,66.52,18.3,4,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-10-04,49.4,,45.46,18.3,2.7,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-10-05,119.2,,109.62,18.3,6.5,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-10-06,114.3,,105.15,18.3,6.3,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-10-08,0,,0.02,18.3,0,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-10-11,120.8,,111.1,18.3,6.6,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-10-09,22.9,,21.06,18.3,1.3,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-10-10,105.4,,97.01,18.3,5.8,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-10-12,118.3,,108.83,18.3,6.5,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-10-13,118.7,,109.16,18.3,6.5,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-10-14,103.6,,95.35,18.3,5.7,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-10-15,86.2,,79.28,18.3,4.7,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-10-16,15,,13.83,18.3,0.8,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-10-18,43.3,,39.79,18.3,2.4,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-10-17,73.6,,67.67,18.3,4,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-10-25,115.3,,106.11,18.3,6.3,-37.8855018,144.6732723,2017-08-10
0,1619801197,Wyndham Park Community Centre,2018-10-29,98.2,,90.36,18.3,5.4,-37.8855018,144.6732723,2017-08-10
