,system_id,system_name,date_stamp,energy_prod(KWh),energy_life(MWh),C02 (Kg),KWp,performance,lat,lon,date_installed
0,275230395,Wyndham Vale CLC 2,2018-08-02,152.6,,140.41,42.0,3.6,-37.876461,144.6009897,2016-09-02
0,275230395,Wyndham Vale CLC 2,2018-08-01,131.5,,121.02,42.0,3.1,-37.876461,144.6009897,2016-09-02
0,275230395,Wyndham Vale CLC 2,2018-08-03,69.7,,64.14,42.0,1.7000000000000002,-37.876461,144.6009897,2016-09-02
0,275230395,Wyndham Vale CLC 2,2018-08-06,108.1,,99.44,42.0,2.6,-37.876461,144.6009897,2016-09-02
0,275230395,Wyndham Vale CLC 2,2018-08-04,72.0,,66.28,42.0,1.7000000000000002,-37.876461,144.6009897,2016-09-02
0,275230395,Wyndham Vale CLC 2,2018-08-05,156.3,,143.78,42.0,3.7,-37.876461,144.6009897,2016-09-02
0,275230395,Wyndham Vale CLC 2,2018-08-07,123.7,,113.82,42.0,3.0,-37.876461,144.6009897,2016-09-02
0,275230395,Wyndham Vale CLC 2,2018-08-10,161.0,,148.13,42.0,3.8,-37.876461,144.6009897,2016-09-02
0,275230395,Wyndham Vale CLC 2,2018-08-08,92.4,,85.0,42.0,2.2,-37.876461,144.6009897,2016-09-02
0,275230395,Wyndham Vale CLC 2,2018-08-12,126.4,,116.25,42.0,3.0,-37.876461,144.6009897,2016-09-02
0,275230395,Wyndham Vale CLC 2,2018-08-13,78.6,,72.29,42.0,1.9,-37.876461,144.6009897,2016-09-02
0,275230395,Wyndham Vale CLC 2,2019-09-26,278.7,,256.37,42.0,6.6,-37.876461,144.6009897,2016-09-02
0,275230395,Wyndham Vale CLC 2,2019-09-27,137.5,,126.53,42.0,3.3,-37.876461,144.6009897,2016-09-02
0,275230395,Wyndham Vale CLC 2,2019-09-28,226,,207.92,42.0,5.4,-37.876461,144.6009897,2016-09-02
0,275230395,Wyndham Vale CLC 2,2019-09-29,157.4,,144.79,42.0,3.8,-37.876461,144.6009897,2016-09-02
0,275230395,Wyndham Vale CLC 2,2019-10-01,326.4,,300.27,42.0,7.8,-37.876461,144.6009897,2016-09-02
0,275230395,Wyndham Vale CLC 2,2019-09-30,154.6,,142.2,42.0,3.7,-37.876461,144.6009897,2016-09-02
0,275230395,Wyndham Vale CLC 2,2019-10-06,207.3,,190.71,42.0,4.9,-37.876461,144.6009897,2016-09-02
0,275230395,Wyndham Vale CLC 2,2019-10-02,265.2,,243.96,42.0,6.3,-37.876461,144.6009897,2016-09-02
0,275230395,Wyndham Vale CLC 2,2019-10-03,318.1,,292.62,42.0,7.6,-37.876461,144.6009897,2016-09-02
0,275230395,Wyndham Vale CLC 2,2019-10-04,116.7,,107.4,42.0,2.8,-37.876461,144.6009897,2016-09-02
0,275230395,Wyndham Vale CLC 2,2018-08-09,86.3,,79.41,42.0,2.1,-37.876461,144.6009897,2016-09-02
0,275230395,Wyndham Vale CLC 2,2018-08-11,89.5,,82.33,42.0,2.1,-37.876461,144.6009897,2016-09-02
0,275230395,Wyndham Vale CLC 2,2018-08-19,108.8,,100.06,42.0,2.6,-37.876461,144.6009897,2016-09-02
0,275230395,Wyndham Vale CLC 2,2018-08-14,169.7,,156.1,42.0,4,-37.876461,144.6009897,2016-09-02
0,275230395,Wyndham Vale CLC 2,2018-08-15,148.5,,136.62,42.0,3.5,-37.876461,144.6009897,2016-09-02
0,275230395,Wyndham Vale CLC 2,2018-08-16,133.5,,122.79,42.0,3.2,-37.876461,144.6009897,2016-09-02
0,275230395,Wyndham Vale CLC 2,2018-08-18,124.5,,114.56,42.0,3,-37.876461,144.6009897,2016-09-02
0,275230395,Wyndham Vale CLC 2,2018-08-17,163.9,,150.81,42.0,3.9,-37.876461,144.6009897,2016-09-02
0,275230395,Wyndham Vale CLC 2,2018-08-21,89.6,,82.47,42.0,2.1,-37.876461,144.6009897,2016-09-02
0,275230395,Wyndham Vale CLC 2,2018-08-20,70.2,,64.6,42.0,1.7000000000000002,-37.876461,144.6009897,2016-09-02
0,275230395,Wyndham Vale CLC 2,2018-08-24,184.6,,169.82,42.0,4.4,-37.876461,144.6009897,2016-09-02
0,275230395,Wyndham Vale CLC 2,2018-08-22,93.9,,86.39,42.0,2.2,-37.876461,144.6009897,2016-09-02
0,275230395,Wyndham Vale CLC 2,2018-08-23,180.3,,165.91,42.0,4.3,-37.876461,144.6009897,2016-09-02
0,275230395,Wyndham Vale CLC 2,2018-08-25,185.6,,170.77,42.0,4.4,-37.876461,144.6009897,2016-09-02
0,275230395,Wyndham Vale CLC 2,2018-08-26,168.5,,155.01,42.0,4,-37.876461,144.6009897,2016-09-02
0,275230395,Wyndham Vale CLC 2,2018-09-04,24.9,,22.95,42.0,0.6000000000000001,-37.876461,144.6009897,2016-09-02
0,275230395,Wyndham Vale CLC 2,2018-09-09,128.2,,117.92,42.0,3.1,-37.876461,144.6009897,2016-09-02
0,275230395,Wyndham Vale CLC 2,2018-09-05,154,,141.64,42.0,3.7,-37.876461,144.6009897,2016-09-02
0,275230395,Wyndham Vale CLC 2,2018-09-06,122.5,,112.66,42.0,2.9,-37.876461,144.6009897,2016-09-02
0,275230395,Wyndham Vale CLC 2,2018-09-07,132.2,,121.66,42.0,3.2,-37.876461,144.6009897,2016-09-02
0,275230395,Wyndham Vale CLC 2,2018-09-08,188.2,,173.15,42.0,4.5,-37.876461,144.6009897,2016-09-02
0,275230395,Wyndham Vale CLC 2,2018-09-10,95.9,,88.18,42.0,2.3,-37.876461,144.6009897,2016-09-02
