,system_id,system_name,date_stamp,energy_prod(KWh),energy_life(MWh),C02 (Kg),KWp,performance,lat,lon,date_installed
0,1344696,Wyndham Vale South Sports Pavilion,2018-08-02,54.9,19.4,50.53,27.3,2.0,-37.90219,144.625599,2017-12-06
0,1344696,Wyndham Vale South Sports Pavilion,2018-08-01,51.6,19.3,47.44,27.3,1.9,-37.90219,144.625599,2017-12-06
0,1344696,Wyndham Vale South Sports Pavilion,2018-08-03,28.0,19.4,25.78,27.3,1.0,-37.90219,144.625599,2017-12-06
0,1344696,Wyndham Vale South Sports Pavilion,2018-08-06,40.7,19.6,37.47,27.3,1.5,-37.90219,144.625599,2017-12-06
0,1344696,Wyndham Vale South Sports Pavilion,2018-08-04,31.0,19.5,28.5,27.3,1.1,-37.90219,144.625599,2017-12-06
0,1344696,Wyndham Vale South Sports Pavilion,2018-08-05,55.2,19.5,50.78,27.3,2.0,-37.90219,144.625599,2017-12-06
0,1344696,Wyndham Vale South Sports Pavilion,2018-08-07,48.2,19.6,44.32,27.3,1.8,-37.90219,144.625599,2017-12-06
0,1344696,Wyndham Vale South Sports Pavilion,2018-08-10,57.0,19.7,52.46,27.3,2.1,-37.90219,144.625599,2017-12-06
0,1344696,Wyndham Vale South Sports Pavilion,2018-08-08,38.1,19.6,35.08,27.3,1.4,-37.90219,144.625599,2017-12-06
0,1344696,Wyndham Vale South Sports Pavilion,2018-08-12,50.7,19.8,46.67,27.3,1.9,-37.90219,144.625599,2017-12-06
0,1344696,Wyndham Vale South Sports Pavilion,2019-09-26,132.7,47.5,122.04,27.3,4.9,-37.90219,144.625599,2017-12-06
0,1344696,Wyndham Vale South Sports Pavilion,2019-09-27,55.7,47.7,51.27,27.3,2,-37.90219,144.625599,2017-12-06
0,1344696,Wyndham Vale South Sports Pavilion,2019-09-28,92,47.7,84.59,27.3,3.4,-37.90219,144.625599,2017-12-06
0,1344696,Wyndham Vale South Sports Pavilion,2019-09-29,74.8,47.8,68.83,27.3,2.7,-37.90219,144.625599,2017-12-06
0,1344696,Wyndham Vale South Sports Pavilion,2019-10-01,150.2,48.0,138.16,27.3,5.5,-37.90219,144.625599,2017-12-06
0,1344696,Wyndham Vale South Sports Pavilion,2019-09-30,76,47.9,69.91,27.3,2.8,-37.90219,144.625599,2017-12-06
0,1344696,Wyndham Vale South Sports Pavilion,2019-10-06,102.5,48.6,94.27,27.3,3.8,-37.90219,144.625599,2017-12-06
0,1344696,Wyndham Vale South Sports Pavilion,2019-10-02,129.1,48.1,118.74,27.3,4.7,-37.90219,144.625599,2017-12-06
0,1344696,Wyndham Vale South Sports Pavilion,2019-10-03,145.4,48.3,133.78,27.3,5.3,-37.90219,144.625599,2017-12-06
0,1344696,Wyndham Vale South Sports Pavilion,2018-08-09,35.4,19.7,32.54,27.3,1.3,-37.90219,144.625599,2017-12-06
0,1344696,Wyndham Vale South Sports Pavilion,2018-08-11,35.2,19.8,32.42,27.3,1.3,-37.90219,144.625599,2017-12-06
0,1344696,Wyndham Vale South Sports Pavilion,2018-08-19,41.3,20.2,37.98,27.3,1.5,-37.90219,144.625599,2017-12-06
0,1344696,Wyndham Vale South Sports Pavilion,2018-08-13,33.1,19.9,30.45,27.3,1.2,-37.90219,144.625599,2017-12-06
0,1344696,Wyndham Vale South Sports Pavilion,2018-08-14,61.4,19.9,56.51,27.3,2.3,-37.90219,144.625599,2017-12-06
