,system_id,system_name,date_stamp,energy_prod(KWh),energy_life(MWh),C02 (Kg),KWp,performance,lat,lon,date_installed
0,9386741,Yerambooee Community Centre  ,2018-08-01,51.5,,47.41,18.2,2.8,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-08-02,58.1,,53.42,18.2,3.2,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-08-03,28.9,,26.58,18.2,1.6,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-08-06,40.9,,37.65,18.2,2.3,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-08-04,29.7,,27.29,18.2,1.6,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-08-07,45.6,,41.95,18.2,2.5,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-08-05,57.8,,53.2,18.2,3.2,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-08-10,61.7,,56.79,18.2,3.4,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-08-13,33.9,,31.17,18.2,1.9,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-08-08,39.8,,36.66,18.2,2.2,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-08-12,54.0,,49.7,18.2,3.0,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2019-09-26,86.5,,79.55,18.2,4.8,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2019-09-30,63.2,,58.12,18.2,3.5,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2019-09-27,36,,33.07,18.2,2,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2019-09-28,60.9,,56.05,18.2,3.4,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2019-09-29,53.2,,48.91,18.2,2.9,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2019-10-01,97.1,,89.32,18.2,5.4,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2019-10-03,93.8,,86.28,18.2,5.2,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2019-10-06,62.8,,57.73,18.2,3.5,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2019-10-02,77.4,,71.23,18.2,4.3,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2019-10-07,60.8,,55.91,18.2,3.4,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2019-10-04,41.2,,37.95,18.2,2.3,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-08-09,38,,34.93,18.2,2.1,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-08-19,45.6,,41.91,18.2,2.5,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-08-11,37.1,,34.14,18.2,2,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-08-14,65.8,,60.52,18.2,3.6,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-08-15,55.9,,51.43,18.2,3.1,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-08-18,51.3,,47.15,18.2,2.8,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-08-16,53.6,,49.28,18.2,3,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-08-17,64.6,,59.47,18.2,3.6,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-08-21,36.6,,33.66,18.2,2,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-08-20,30,,27.55,18.2,1.7000000000000002,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-08-22,38.3,,35.26,18.2,2.1,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-08-24,74.3,,68.34,18.2,4.1,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-08-25,74.8,,68.86,18.2,4.1,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-08-23,69.4,,63.85,18.2,3.8,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-08-26,71.9,,66.17,18.2,4,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-08-27,73.7,,67.83,18.2,4.1,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-08-28,74.1,,68.13,18.2,4.1,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-08-29,81.4,,74.86,18.2,4.5,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-08-30,14.1,,12.93,18.2,0.8,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-08-31,22.2,,20.47,18.2,1.2,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-09-01,39.2,,36.02,18.2,2.2,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-09-02,65.8,,60.53,18.2,3.6,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-09-03,73.5,,67.66,18.2,4.1,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-09-04,84.1,,77.41,18.2,4.6,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-09-09,37.5,,34.51,18.2,2.1,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-09-10,41.9,,38.5,18.2,2.3,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-09-05,73.3,,67.41,18.2,4,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-09-06,63.7,,58.61,18.2,3.5,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-09-07,58.8,,54.06,18.2,3.2,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-09-08,81.9,,75.35,18.2,4.5,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-09-11,85,,78.21,18.2,4.7,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-09-12,83.8,,77.12,18.2,4.6,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-09-13,87.4,,80.43,18.2,4.8,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-09-14,86.3,,79.38,18.2,4.8,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-09-15,52.1,,47.98,18.2,2.9,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-09-16,72.9,,67.09,18.2,4,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-09-17,88.6,,81.51,18.2,4.9,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-09-18,49.8,,45.81,18.2,2.7,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-09-19,84.9,,78.09,18.2,4.7,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-09-20,78.3,,72.02,18.2,4.3,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-09-25,72.7,,66.93,18.2,4,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-09-26,103.6,,95.31,18.2,5.7,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-09-27,98.6,,90.71,18.2,5.4,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-10-19,94.5,,86.96,18.2,5.2,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-10-20,50,,46.04,18.2,2.8,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-10-21,83.7,,76.97,18.2,4.6,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-10-24,91.4,,84.12,18.2,5,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-10-26,80.2,,73.81,18.2,4.4,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-10-23,59,,54.28,18.2,3.3,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-10-25,110.8,,101.9,18.2,6.1,-37.8587717,144.7100923,2017-07-27
0,9386741,Yerambooee Community Centre  ,2018-12-26,131.5,,120.97,18.2,7.2,-37.8587717,144.7100923,2017-07-27
